"","V1","V2"
"1","ITGA7","CHRNA1"
"2","PPP1R9A","ACTG1"
"3","SRGN","CD44"
"4","GRB7","ERBB2"
"5","PAK1","ERBB2"
"6","DLG4","ERBB2"
"7","PIK3R2","ERBB2"
"8","PTPN18","ERBB2"
"9","ERBB2IP","ERBB2"
"10","SMURF2","ARHGAP5"
"11","NF2","ERBB2"
"12","CD82","ERBB2"
"13","ERRFI1","ERBB2"
"14","MMP7","CD44"
"15","TOB1","ERBB2"
"16","MUC4","ERBB2"
"17","PICK1","ERBB2"
"18","SMURF2","TXNIP"
"19","DDX20","ETV3"
"20","TLE1","FOXG1"
"21","TLE3","FOXG1"
"22","HDAC1","FOXG1"
"23","SMAD1","FOXG1"
"24","KDM5B","FOXG1"
"25","CD4","CD44"
"26","SMURF2","DAB2"
"27","CBL","VAV1"
"28","PLCG1","VAV1"
"29","PRLR","VAV1"
"30","TYK2","VAV1"
"31","SMURF2","DGCR2"
"32","MAPK1","VAV1"
"33","VAV1","RHOG"
"34","VAV1","HRAS"
"35","VAV1","BTK"
"36","TGFBR1","CD44"
"37","VAV1","SYK"
"38","VAV1","SHB"
"39","VAV1","PRKCQ"
"40","VAV1","TEC"
"41","VAV1","IL6ST"
"42","VAV1","HNRNPK"
"43","VAV1","SLA"
"44","VAV1","PTK2B"
"45","VAV1","EZH2"
"46","VAV1","LCP2"
"47","TGFBR2","CD44"
"48","VAV1","ZYX"
"49","VAV1","SH3BP2"
"50","VAV1","SIAH2"
"51","VAV1","LAT"
"52","VAV1","ARHGDIB"
"53","VAV1","SOCS1"
"54","VAV1","AOC3"
"55","VAV1","NEK3"
"56","VAV1","CBLB"
"57","VAV1","BLNK"
"58","VAV2","CD44"
"59","VAV1","RACGAP1"
"60","VAV1","PAG1"
"61","VAV1","DOCK2"
"62","SMURF2","FAM175B"
"63","SMURF2","ACBD3"
"64","YES1","PECAM1"
"65","YES1","CD36"
"66","YES1","RPL10"
"67","YES1","MST1R"
"68","ERBB4","CD44"
"69","YES1","TYRO3"
"70","YES1","ADAM12"
"71","YES1","NPHS1"
"72","YES1","OCLN"
"73","DLG4","YES1"
"74","YES1","CD2AP"
"75","YES1","TRPV4"
"76","SMURF2","SF3A2"
"77","YES1","GP6"
"78","YES1","TP53BP2"
"79","TIAM1","CD44"
"80","SP1","REL"
"81","ELF1","REL"
"82","SMURF2","ACOX3"
"83","SMURF2","RNF111"
"84","NKRF","REL"
"85","TBP","REL"
"86","SMURF2","TMEM139"
"87","SMURF2","LAPTM5"
"88","MAPK8","REL"
"89","SMURF2","SNRNP70"
"90","DMP1","CD44"
"91","PPP4C","REL"
"92","NUP155","ZFYVE9"
"93","SUMF2","ZFYVE9"
"94","ETS2","ZFYVE9"
"95","SMAD7","ZNF107"
"96","SMAD7","ZBTB44"
"97","SMAD7","TTF2"
"98","HSPA8","REL"
"99","SMAD7","MYOD1"
"100","GTF2B","REL"
"101","ARHGEF1","CD44"
"102","SMAD7","SOX5"
"103","SMAD7","ASH1L"
"104","SMAD7","ZBTB11"
"105","REL","CALM1"
"106","SMAD7","SOX13"
"107","KIT","LYN"
"108","KIT","PIK3R1"
"109","PLCG1","KIT"
"110","KIT","PTPN11"
"111","LGALS13","ACTG1"
"112","NF2","CD44"
"113","KIT","PTPN6"
"114","KIT","PRKCA"
"115","KIT","KITLG"
"116","KIT","SRC"
"117","KIT","MATK"
"118","KIT","STAT1"
"119","KIT","PTPRO"
"120","KIT","TEC"
"121","GRB7","KIT"
"122","KIT","GRB10"
"123","FCGR3A","CD38"
"124","KIT","CRKL"
"125","KIT","DOK1"
"126","PIK3R2","KIT"
"127","KIT","SOCS1"
"128","KIT","GRAP"
"129","KIT","GRAP2"
"130","KIT","SH2B3"
"131","KIT","CD81"
"132","KIT","MPDZ"
"133","KIT","SPRED1"
"134","LCK","CD38"
"135","KIT","STAP1"
"136","KIT","SH2B2"
"137","KIT","SPRED2"
"138","CBL","FGR"
"139","SRC","FGR"
"140","FGR","WAS"
"141","FGR","CD24"
"142","FGR","SYK"
"143","FGR","PTK2"
"144","PECAM1","CD38"
"145","FGR","DAB2"
"146","FGR","CCR3"
"147","FGR","HCLS1"
"148","FGR","SLAMF1"
"149","FGR","INPP5D"
"150","EBNA1BP2","FGF3"
"151","DLL4","NOTCH4"
"152","MAML1","NOTCH4"
"153","FBXW7","NOTCH4"
"154","INS","NOV"
"155","CD4","CD38"
"156","NOTCH1","NOV"
"157","DLL1","NOV"
"158","S100A4","NOV"
"159","NFATC1","PIM1"
"160","PTPRO","PIM1"
"161","SND1","PIM1"
"162","CBX3","PIM1"
"163","CBX1","PIM1"
"164","FZD5","WNT5A"
