"","V1","V2","NA"
"","A2M","KLKB1","IN_SAME_COMPONENT"
"","A2M","A2M","REACTS_WITH"
"","A2M","APOA1","STATE_CHANGE"
"","AAAS","KPNB1","IN_SAME_COMPONENT"
"","AAAS","NUP107","IN_SAME_COMPONENT"
"","AAAS","NUP133","IN_SAME_COMPONENT"
"","AAAS","NUP153","IN_SAME_COMPONENT"
"","AAAS","NUP155","IN_SAME_COMPONENT"
"","AAAS","NUP160","IN_SAME_COMPONENT"
"","AAAS","NUP188","IN_SAME_COMPONENT"
"","AAAS","NUP205","IN_SAME_COMPONENT"
"","AAAS","NUP210","IN_SAME_COMPONENT"
"","AAAS","NUP214","IN_SAME_COMPONENT"
"","AAAS","NUP35","IN_SAME_COMPONENT"
"","AAAS","NUP37","IN_SAME_COMPONENT"
"","AAAS","NUP43","IN_SAME_COMPONENT"
"","AAAS","NUP50","IN_SAME_COMPONENT"
"","AAAS","NUP54","IN_SAME_COMPONENT"
"","AAAS","NUP62","IN_SAME_COMPONENT"
"","AAAS","NUP85","IN_SAME_COMPONENT"
"","AAAS","NUP88","IN_SAME_COMPONENT"
"","AAAS","NUP93","IN_SAME_COMPONENT"
"","AAAS","NUPL2","IN_SAME_COMPONENT"
"","AAAS","RAE1","IN_SAME_COMPONENT"
"","AAAS","RAN","IN_SAME_COMPONENT"
"","AAAS","RANBP2","IN_SAME_COMPONENT"
"","AAAS","TPR","IN_SAME_COMPONENT"
"","AAAS","XPO1","IN_SAME_COMPONENT"
"","AAAS","AAAS","REACTS_WITH"
"","AAAS","CDC40","STATE_CHANGE"
"","AAAS","CPSF1","STATE_CHANGE"
"","AAAS","CPSF2","STATE_CHANGE"
"","AAAS","CPSF3","STATE_CHANGE"
"","AAAS","DDX20","STATE_CHANGE"
"","AAAS","DHX38","STATE_CHANGE"
"","AAAS","EIF4E","STATE_CHANGE"
"","AAAS","GCK","STATE_CHANGE"
"","AAAS","GCKR","STATE_CHANGE"
"","AAAS","GEMIN4","STATE_CHANGE"
"","AAAS","GEMIN5","STATE_CHANGE"
"","AAAS","GEMIN6","STATE_CHANGE"
"","AAAS","GEMIN7","STATE_CHANGE"
"","AAAS","MAGOH","STATE_CHANGE"
"","AAAS","NCBP1","STATE_CHANGE"
"","AAAS","NCBP2","STATE_CHANGE"
"","AAAS","NXF1","STATE_CHANGE"
"","AAAS","PHAX","STATE_CHANGE"
"","AAAS","RBM8A","STATE_CHANGE"
"","AAAS","RNPS1","STATE_CHANGE"
"","AAAS","SIP1","STATE_CHANGE"
"","AAAS","SLBP","STATE_CHANGE"
"","AAAS","SMN1","STATE_CHANGE"
"","AAAS","SNRPB","STATE_CHANGE"
"","AAAS","SNUPN","STATE_CHANGE"
"","AAAS","SRRM1","STATE_CHANGE"
