,biocarta entry,biocarta p,chr entry,chr p
0,BIOCARTA_PML_PATHWAY,0.00158215490373,chr6p21,0.000236988006438
1,BIOCARTA_MCALPAIN_PATHWAY,0.00682486433172,chr6p21,2.1129594111e-09
2,BIOCARTA_AKAP13_PATHWAY,0.0114851260054,chr7q35,0.054474265511
3,BIOCARTA_PML_PATHWAY,0.0406273985178,chr3q12,0.114365141882
4,,,chr2p24,0.0649635084012
5,BIOCARTA_MCM_PATHWAY,0.0103533279708,chr6p21,0.000116738184411
6,BIOCARTA_BIOPEPTIDES_PATHWAY,0.00338400528041,chr6p21,0.000349074878551
7,,,chr10p14,0.0592256681804
8,BIOCARTA_STEM_PATHWAY,0.0179410191587,chr7p21,0.0680513669837
9,BIOCARTA_IL22BP_PATHWAY,0.106761730297,chr8q22,0.000367385202211
10,BIOCARTA_MAPK_PATHWAY,0.140109590043,chr21q22,0.0194894248062
11,BIOCARTA_ECM_PATHWAY,0.0373703771453,chr6p21,8.63346750605e-06
12,,,chr3q29,0.103004673144
13,BIOCARTA_ERK5_PATHWAY,3.3431382433e-05,chr8p12,0.0835082711543
14,BIOCARTA_PTEN_PATHWAY,5.43323210657e-06,chr1p22,0.0351844951781
15,BIOCARTA_CCR3_PATHWAY,5.52619097282e-05,chr3q25,0.138325548437
16,BIOCARTA_CELLCYCLE_PATHWAY,0.0384815573164,chr12q15,0.0601809169026
