"","V1","V2"
"1","SERPINA3","CTSG"
"2","ABL1","ATM"
"3","ABL1","BCR"
"4","ABL1","BRCA1"
"5","ABL1","BTK"
"6","ABL1","CDC2"
"7","ABL1","CRK"
"8","ABL1","CRKL"
"9","ABL1","EPHB2"
"10","ABL1","GRB2"
"11","ABL1","HCK"
"12","ABL1","INPPL1"
"13","ABL1","JAK1"
"14","ABL1","JUN"
"15","ABL1","NCK1"
"16","ABL1","NEDD9"
"17","ABL1","PXN"
"18","ABL1","RAD9A"
"19","ABL1","RB1"
"20","ABL1","SRC"
"21","ABL1","TP53"
"22","ABL1","ADAM15"
"23","ABL1","WASF1"
"24","ABL1","PSTPIP1"
"25","ABL1","ABI1"
"26","ABL1","ABI2"
"27","ABL1","MAP4K1"
"28","ACCN1","ACCN3"
"29","ACCN1","PICK1"
"30","ACTA1","VASP"
"31","ACTL6A","MYC"
"32","ACTL6A","SMARCA4"
"33","ACTL6A","SMARCC2"
"34","ACTL6A","TRRAP"
"35","ACTL6A","RUVBL1"
"36","ACTL6A","HTATIP"
"37","ACTL6A","RUVBL2"
"38","ACVR1B","SMAD2"
"39","ACVR1B","SNX2"
"40","ACVRL1","TGFB1"
"41","ADAM10","EFNA2"
"42","PARP1","CENPA"
"43","PARP1","CENPB"
"44","PARP1","TP53"
"45","PARP1","BUB3"
"46","PARP1","PARP2"
"47","PARP4","MVP"
"48","ADRB2","GRK5"
"49","ADRBK1","GRM1"
"50","ADRBK1","MAPK3"
"51","ADRBK1","SRC"
"52","ADRBK1","GIT2"
"53","ADRBK2","CXCR4"
"54","AP1B1","CREBBP"
"55","AES","SIX3"
"56","AHR","ARNT"
"57","AHR","EP300"
"58","AHR","HSP90AA1"
"59","AHR","RB1"
"60","AHR","RELA"
"61","AHR","NRIP1"
"62","AHR","AIP"
"63","AKT1","AKT2"
"64","AKT1","ARRB2"
"65","AKT1","BRAF"
"66","AKT1","FRAP1"
"67","AKT1","GRB10"
"68","AKT1","IRS1"
"69","AKT1","MAP3K11"
"70","AKT1","MTCP1"
"71","AKT1","PAK1"
"72","AKT1","PDK1"
"73","AKT1","PDPK1"
"74","AKT1","PIK3R1"
"75","AKT1","PKN2"
"76","AKT1","PRKDC"
"77","AKT1","RAC1"
"78","AKT1","RAF1"
"79","AKT1","RPS6KB1"
"80","AKT1","TSC2"
"81","AKT1","TCL1A"
"82","AKT2","MTCP1"
"83","AKT2","TSC2"
"84","AKT2","TCL1A"
"85","ALCAM","CD6"
"86","AMFR","VCP"
"87","BIN1","SYN1"
"88","ANK1","TIAM1"
"89","ANXA1","S100A11"
"90","ANXA2","S100A10"
"91","ANXA7","SRI"
"92","ANXA11","SRI"
"93","APBB1","APLP2"
"94","APBB1","APP"
"95","APC","CDC20"
"96","APC","GSK3B"
"97","APC","AXIN1"
"98","APC","IQGAP1"
"99","APC","MAPRE1"
"100","APEX1","TP53"
"101","BIRC2","LTBR"
"102","BIRC2","TRAF1"
"103","BIRC2","TRAF2"
"104","BIRC2","RIPK2"
"105","BIRC2","HTRA2"
"106","BIRC3","CASP3"
"107","BIRC3","CASP7"
"108","BIRC3","TRAF1"
"109","BIRC3","TRAF2"
"110","BIRC3","HTRA2"
"111","BIRC5","CDK4"
"112","BIRC5","AURKB"
"113","APOC2","LPL"
"114","APOE","APP"
"115","APOE","LDLR"
"116","APOE","PLTP"
"117","APP","CLU"
"118","APP","HSPG2"
"119","APP","LRP1"
"120","APP","PRNP"
"121","APP","PSEN1"
"122","APP","SHC1"
"123","APP","MAPK8IP1"
"124","APP","APBA3"
"125","FAS","FASLG"
"126","FAS","CASP8"
"127","FAS","CASP10"
"128","FAS","DAXX"
"129","FAS","FADD"
"130","FAS","HIPK3"
"131","FASLG","GRB2"
"132","FASLG","NCK1"
"133","FASLG","FADD"
"134","FASLG","PACSIN2"
"135","FASLG","FNBP1"
"136","ARAF","MAP2K1"
"137","ARAF","MAP2K2"
"138","ARCN1","COPA"
"139","ARCN1","COPB1"
"140","ARCN1","COPB2"
"141","ARF6","PLD1"
"142","ARF6","PSCD2"
"143","ARF6","ARFIP2"
"144","RHOA","ARHGAP1"
"145","RHOA","ARHGDIA"
"146","RHOA","ARHGDIB"
"147","RHOA","PLD1"
"148","RHOA","PKN1"
"149","RHOA","PKN2"
"150","RHOA","ROCK1"
"151","RHOA","ARHGEF11"
"152","RHOA","CNKSR1"
"153","RHOA","RABAC1"
"154","RHOA","CIT"
"155","RHOA","AKAP13"
"156","RHOA","DAAM1"
"157","RHOA","MCF2L"
"158","ARHGAP1","CDC42"
"159","ARHGAP1","RASA1"
"160","ARHGAP1","WAS"
"161","ARHGDIB","CDC42"
"162","ARHGDIB","RAC1"
"163","ARL2","UNC119"
"164","ARNT","EP300"
