"","V1","V2"
"1","Sep-01","Sep-06"
"2","Sep-01","FLJ10849"
"3","Sep-01","GORASP2"
"4","101F6","LOC51061"
"5","A2BP1","FLJ30829"
"6","A2BP1","RNPC1"
"7","A2M","APOE"
"8","A2M","CTSB"
"9","A2M","IL10"
"10","A2M","IL1B"
"11","A2M","KLK3"
"12","A2M","KRAS2"
"13","A2M","LEP"
"14","A2M","WNT1"
"15","AAK1","KIAA1456"
"16","AANAT","YWHAZ"
"17","AARS","ASMT"
"18","AARS","C1orf33"
"19","AARS","DMC1"
"20","AARS","LOC127099"
"21","AARS","LOC221589"
"22","AARS","PIN1"
"23","AARS","RAD51"
"24","AARS","RPL10A"
"25","AARS","RPL12"
"26","AARS","RPL12L3"
"27","AARS","RPLP2"
"28","AARS","SUPT5H"
"29","AASS","OAZIN"
"30","AASS","ODC-p"
"31","AATF","C15orf12"
"32","AATF","CIRH1A"
"33","AATF","DRIM"
"34","AATF","FLJ10359"
"35","AATF","FLJ10774"
"36","AATF","FLJ12519"
"37","AATF","FLJ14075"
"38","AATF","TA-WDRP"
"39","ABAT","FLJ32949"
"40","ABAT","KIAA0877"
"41","ABAT","NAGS"
"42","ABAT","OTC"
"43","ABAT","SGPL1"
"44","ABCA1","ABCA2"
"45","ABCA1","ABCA4"
"46","ABCA1","ABCA7"
"47","ABCA1","ABCG1"
"48","ABCA2","ABCA3"
"49","ABCA2","ABCA4"
"50","ABCA2","ABCA6"
"51","ABCA2","ABCA8"
"52","ABCA2","CDK5RAP2"
"53","ABCA3","FLJ22087"
"54","ABCA4","FLJ22087"
"55","ABCA8","ABCA6"
"56","ABCB1","ABCC5"
"57","ABCB1","ABCG2"
"58","ABCB1","PCAF"
"59","ABCB1","TP53"
"60","ABCB7","FECH"
"61","ABCC11","ABCC12"
"62","ABCC2","PDZK1"
"63","ABCC5","ABCC4"
"64","ABCC11","ABCC6"
"65","ABCC6","ABCC12"
"66","ABCC11","ABCC8"
"67","ABCC8","ABCC12"
"68","ABCD1","ABCD2"
"69","ABCD1","ABCD3"
"70","ABCD1","ALDRP"
"71","ABCD1","PXF"
"72","ABCD2","ABCD3"
"73","ABCD2","PXF"
"74","ABI-2","DKFZP761L0424"
"75","ABI-2","JM1"
"76","ABI-2","LDB3"
"77","ABI-2","LIM"
"78","ABL1","ADAM15"
"79","ABL1","ATM"
"80","ABL1","BCR"
"81","ABL1","C3"
"82","ABL1","CBL"
"83","ABL1","CNTNAP1"
"84","ABL1","CRK"
"85","ABL1","CRKL"
"86","ABL1","EPHB2"
"87","ABL1","EVPL"
"88","ABL1","G22P1"
"89","ABL1","GRB2"
"90","ABL1","GRF2"
"91","ABL1","HCK"
"92","ABL1","INPPL1"
"93","ABL1","JAK1"
