"","V1","V2"
"1","ABI1","SOS1"
"2","ABL1","TP73"
"3","ACTL6A","RELA"
"4","Adam10","Dll1"
"5","AES","AR"
"6","AKT1","APPL1"
"7","AKT1","AR"
"8","AKT1","CHUK"
"9","AKT1","RAF1"
"10","AKT1","FOXO1"
"11","AKT1","MST1R"
"12","AKT1","STAT1"
"13","AKT2","CHUK"
"14","ALPL","MAP3K14"
"15","ALPL","TRAF2"
"16","ALPL","TRAF3"
"17","ANAPC10","ANAPC1"
"18","ANAPC10","ANAPC2"
"19","ANAPC10","ANAPC4"
"20","ANAPC10","ANAPC5"
"21","ANAPC10","CDC23"
"22","ANAPC10","CDC27"
"23","ANAPC10","FZR1"
"24","ANAPC1","ANAPC2"
"25","ANAPC1","ANAPC4"
"26","ANAPC1","ANAPC5"
"27","ANAPC1","CDC23"
"28","ANAPC1","CDC27"
"29","ANAPC1","FZR1"
"30","ANAPC2","ANAPC4"
"31","ANAPC2","ANAPC5"
"32","ANAPC2","CDC23"
"33","ANAPC2","CDC27"
"34","ANAPC2","FZR1"
"35","ANAPC4","ANAPC5"
"36","ANAPC4","CDC23"
"37","ANAPC4","CDC27"
"38","ANAPC4","FZR1"
"39","ANAPC5","CDC23"
"40","ANAPC5","CDC27"
"41","ANAPC5","FZR1"
"42","APC","AXIN1"
"43","APC","CTNNB1"
"44","APC","DLG4"
"45","APC","Fzd2"
"46","APC","GSK3B"
"47","APC","JUP"
"48","APC","TFAP2A"
"49","APH1A","APH1B"
"50","APH1A","NCSTN"
"51","APH1A","PSEN1"
"52","APH1A","PSEN2"
"53","APH1A","PSENEN"
"54","APH1A","APP"
"55","APH1A","JAG2"
"56","APH1B","NCSTN"
"57","APH1B","PSEN1"
"58","APH1B","PSEN2"
"59","APH1B","PSENEN"
"60","APH1B","APP"
"61","APH1B","JAG2"
"62","APPL1","AR"
"63","APPL2","MTA2"
"64","APPL2","RAB5A"
"65","APPL2","RBBP7"
"66","ARAF","MAP2K1"
"67","ARF4","EGFR"
"68","AR","RNF4"
"69","AR","ATF2"
"70","AR","BAG1"
"71","AR","BRCA1"
"72","AR","CAV1"
"73","AR","CCND1"
"74","AR","CCNE1"
"75","AR","CCNH"
"76","AR","CDC37"
"77","AR","CDK9"
"78","AR","COX5B"
"79","AR","CREBBP"
"80","AR","CTNNB1"
"81","AR","EGFR"
"82","AR","ESR1"
"83","AR","ETV5"
"84","AR","FHL2"
"85","AR","FLNA"
"86","AR","GTF2F1"
"87","AR","GTF2F2"
"88","AR","GTF2H1"
"89","AR","IL6ST"
"90","AR","JUN"
"91","AR","KAT2B"
"92","AR","MDM2"
"93","AR","MNAT1"
"94","AR","MYST2"
"95","AR","NCOA1"
"96","AR","NCOA2"
"97","AR","NCOA3"
"98","AR","NCOR2"
"99","AR","NR0B2"
"100","AR","NR2C2"
"101","AR","NR5A1"
"102","AR","NSD1"
"103","AR","PA2G4"
"104","AR","PAK6"
"105","AR","PATZ1"
"106","AR","PIAS1"
"107","AR","PIAS3"
"108","AR","PIAS4"
"109","AR","PNRC1"
"110","AR","POU2F2"
"111","AR","PRPF6"
"112","AR","PSMC3IP"
"113","AR","PTEN"
"114","AR","RAC3"
"115","AR","RAN"
"116","AR","RANBP9"
"117","AR","RB1"
"118","AR","RCHY1"
"119","AR","RELA"
"120","AR","RNF14"
"121","AR","RUNX2"
"122","AR","SMAD4"
"123","AR","SP1"
"124","AR","SPDEF"
"125","AR","SRY"
"126","AR","STAT3"
"127","AR","STUB1"
"128","AR","SVIL"
"129","AR","TGFB1I1"
"130","AR","TGIF1"
"131","AR","TMF1"
"132","AR","UBE2I"
"133","AR","UBE3A"
"134","ARRB2","DVL2"
"135","ARRB2","FZD4"
"136","ARRB2","TGFBR3"
"137","ASAP1","SH3KBP1"
"138","ATF2","SMAD4"
"139","AXIN1","CTNNB1"
"140","AXIN1","DVL3"
"141","Axin1","Dvl1"
"142","Axin1","Dvl2"
"143","AXIN1","GSK3B"
"144","AXIN1","LRP6"
"145","AXIN1","MAP3K4"
"146","AXIN1","PPP2CA"
"147","AXIN1","PPP2R5B"
"148","AXIN1","RUNX2"
"149","AXIN2","CSNK1E"
"150","Axin2","Gsk3b"
"151","AZI2","IKBKE"
"152","AZI2","TBK1"
"153","BAG4","TNFRSF1A"
"154","BCL7A","RELB"
"155","BCL9","CTNNB1"
"156","BIRC2","RIPK1"
"157","BIRC2","TRADD"
"158","BIRC2","TRAF1"
"159","BIRC2","TRAF2"
"160","BIRC2","TNFRSF1A"
"161","BIRC2","TNFRSF1B"
"162","BIRC3","TRAF1"
"163","BIRC3","TRAF2"
"164","BIRC3","TNFRSF1B"
"165","BTRC","SMAD4"
"166","CAMK2B","CAMK2D"
"167","CAMK2B","MAP3K7"
"168","CAMK2D","MAP3K7"
"169","CAPN3","NFKBIA"
"170","CASP10","FADD"
"171","CASP10","RIPK1"
"172","CASP10","TRADD"
"173","CASP10","TRAF2"
"174","CASP10","CASP8"
"175","CASP2","CRADD"
"176","CASP3","CFLAR"
"177","CASP7","TNFRSF1A"
"178","CASP8AP2","TRAF2"
"179","CASP8","FADD"
"180","CASP8","RIPK1"
"181","CASP8","TRADD"
"182","CASP8","TRAF2"
"183","CASP8","MAP3K14"
"184","CASP8","TRAF1"
"185","CASP9","MAPK1"
"186","CASP9","MAPK3"
"187","CAV1","TRAF2"
"188","CAV1","DNM1"
"189","CAV1","EGFR"
"190","CAV1","GRB7"
"191","CAV1","MAPK1"
"192","CAV1","MAPK3"
"193","CAV1","TNFRSF1B"
"194","CAV2","NCK1"
"195","CAV2","RASA1"
"196","CAV2","SRC"
"197","CBLB","EGFR"
"198","CBLC","CRK"
"199","CBLC","EGFR"
"200","CBLC","SPRY2"
"201","CBL","KIT"
"202","CBL","CRKL"
"203","CBL","EGFR"
"204","CBL","PIK3R1"
"205","CBL","PIK3R2"
"206","CBL","SH3KBP1"
"207","CBL","SHC1"
"208","CCNA2","CDK2"
"209","CCNB1","CDK1"
"210","CCNB1","PTCH1"
"211","CCNB2","CDK1"
"212","CCNB2","TGFBR2"
"213","CCND1","CDK4"
"214","CCND1","CDK6"
"215","CCND1","RB1"
"216","CCND1","RBL1"
"217","CCND1","RBL2"
"218","CCNE1","CDK2"
"219","CCNE1","RBL1"
"220","CCNH","GTF2H1"
"221","CD151","ITGA6"
"222","CD3EAP","NFKBIB"
"223","CDC16","SKIL"
"224","CDC16","SMAD2"
"225","CDC23","CDC27"
"226","CDC23","FZR1"
"227","CDC25A","ROCK1"
"228","CDC25C","CDK1"
"229","CDC27","FZR1"
"230","CDC27","SKIL"
"231","CDC27","SMAD2"
"232","CDC34","NFKBIA"
"233","CDC37","CHUK"
"234","CDC37","HSP90AA1"
"235","CDC37","IKBKE"
"236","CDC37","MAP3K14"
"237","CDC37","MAP3K3"
"238","CDC37","NR2C2"
"239","CDC37","TBK1"
"240","CDC42","MAP3K4"
"241","CDC42","TNK2"
"242","CDH1","CTNNB1"
"243","CDK1","PTCH1"
"244","CDK1","TGFBR2"
"245","CDK2","CDKN1A"
"246","CDK2","ID2"
"247","CDK2","ID3"
"248","CDK2","RBL1"
"249","CDK4","CDK6"
"250","CDK4","RB1"
"251","CDK4","RBL1"
"252","CDK4","RBL2"
"253","CDK6","RB1"
"254","CDK6","RBL2"
"255","CDX1","LEF1"
"256","CEBPA","MYC"
"257","CEBPB","MYC"
"258","CFLAR","FADD"
"259","CFLAR","NFKB1"
"260","CFLAR","TRAF1"
"261","CFLAR","TRAF2"
"262","CHUK","HSP90AA1"
"263","CHUK","CREBBP"
"264","CHUK","FKBP5"
"265","CHUK","HSP90AB1"
"266","CHUK","MAP3K14"
"267","CHUK","NFKB1"
"268","CHUK","NFKB2"
"269","CHUK","NFKBIA"
"270","CHUK","NFKBIB"
"271","CHUK","NLRP4"
"272","CHUK","PEBP1"
"273","CHUK","PTPN11"
"274","CHUK","HIST3H3"
"275","CHUK","RELA"
"276","CIR1","HDAC2"
"277","CIR1","RBPJ"
"278","CIR1","SAP30"
"279","CITED1","CREBBP"
"280","CITED1","EP300"
"281","CITED1","HSPA8"
"282","CITED1","SMAD4"
"283","CLCA1","ITGB4"
"284","CLCA2","ITGB4"
"285","Cntn1","Notch2"
"286","COL17A1","DSP"
"287","COL17A1","ITGA6"
"288","COL17A1","ITGB4"
"289","COL17A1","PLEC"
"290","COMMD1","NFKBIA"
"291","COMMD1","RELA"
"292","COPS5","SMAD4"
"293","CRADD","RIPK1"
"294","CREBBP","RELA"
"295","CREBBP","SNIP1"
"296","CRK","KIT"
"297","CRK","PIK3R1"
"298","CRK","SOS1"
"299","CRKL","DOK1"
"300","CRKL","KIT"
"301","CRKL","PIK3R1"
"302","CRKL","PIK3R2"
"303","CSF2RB","KIT"
"304","CSK","EGFR"
"305","CSNK1D","CTNNB1"
"306","Csnk1e","Dvl1"
"307","CSNK1E","DVL3"
"308","CSNK2A1","CSNK2A2"
"309","CSNK2A1","CSNK2B"
"310","CSNK2A1","RELA"
"311","CSNK2A2","CSNK2B"
"312","CSNK2A2","RELA"
"313","CSNK2B","RELA"
"314","CTCF","SMAD4"
"315","CTNNB1","DVL3"
"316","Ctnnb1","Ctnnbip1"
"317","CTNNB1","CUL1"
"318","CTNNB1","FHL2"
"319","CTNNB1","GSK3B"
"320","CTNNB1","JUP"
"321","CTNNB1","LEF1"
"322","CTNNB1","NLK"
"323","CTNNB1","NR5A1"
"324","CTNNB1","PIN1"
"325","CTNNB1","PPP2CA"
"326","CTNNB1","RUVBL1"
"327","CTNNB1","SALL1"
"328","CTNNB1","SKP1"
"329","CTNNB1","SMAD2"
"330","CTNNB1","SMAD4"
"331","CTNNB1","SOX1"
"332","CTNNB1","TFAP2A"
"333","CTNNB1","TGFBR2"
"334","CTNND1","PTPN6"
"335","CUL1","FBXW11"
"336","CUL1","RBX1"
"337","CUL1","SKP1"
"338","CUL1","SKP2"
"339","CUL1","FBXW7"
"340","CUL1","NFKBIA"
"341","CUL1","NFKBIB"
"342","CUL1","NFKBIE"
"343","CUL1","TCF3"
"344","CYLD","TRAF2"
"345","CYLD","TRAIP"
"346","CYLD","TRAF6"
"347","DAAM1","RHOA"
"348","DAB2","DVL3"
"349","DAB2","SMAD2"
"350","DAB2","TGFBR2"
"351","DAP","TNFRSF1A"
"352","DAXX","TGFBR2"
"353","DDX3X","NFKB2"
"354","DHH","HHIP"
"355","DHH","PTCH1"
"356","DHH","PTCH2"
"357","DKK1","LRP5"
"358","DKK1","LRP6"
"359","DLG4","Fzd2"
"360","Dll1","Notch2"
"361","DLL1","NOTCH3"
"362","Dll1","Psen1"
"363","DNM1","SH3GL3"
"364","DNM1","SRC"
"365","DOK1","LYN"
"366","DOK1","FES"
"367","DOK1","FGR"
"368","DOK1","HCK"
"369","DOK1","INPP5D"
"370","DOK1","KIT"
"371","DOK1","PIK3R1"
"372","DOK1","PIK3R2"
"373","DOK1","PLCG1"
"374","DOK1","RASA1"
"375","DOK1","SHC1"
"376","DOK1","SRC"
"377","DOK1","YES1"
"378","DPF2","RELB"
"379","DTX1","EP300"
"380","DVL1","DVL3"
"381","Dvl1","Smad2"
"382","Dvl1","Vangl2"
"383","Dvl2","RUNX2"
"384","DVL2","FZD4"
"385","DVL2","PRKCA"
"386","DVL2","PRKCB"
"387","DVL2","PRKCG"
"388","Dvl2","RAC1"
"389","DVL2","RUNX2"
"390","DVL3","PPP2CA"
"391","DYRK1A","GLI1"
"392","E2F4","E2F5"
"393","E2F4","RBL1"
"394","E2F4","RBL2"
"395","E2F4","TFDP1"
"396","E2F4","TFDP2"
"397","E2F4","RB1"
"398","E2F4","SMAD4"
"399","E2F5","RBL1"
"400","E2F5","TFDP1"
"401","E2F5","RBL2"
"402","E2F5","SMAD4"
"403","EGF","EGFR"
"404","EGFR","EPS8"
"405","EGFR","ERRFI1"
"406","EGFR","HIST3H3"
"407","EGFR","HTT"
"408","EGFR","INPPL1"
"409","EGFR","KRT17"
"410","EGFR","KRT18"
"411","EGFR","KRT7"
"412","EGFR","KRT8"
"413","EGFR","MAP2K1"
"414","EGFR","MAP3K14"
"415","EGFR","MAPK1"
"416","EGFR","NCK1"
"417","EGFR","NCK2"
"418","EGFR","PIK3C2B"
"419","EGFR","PITPNA"
"420","EGFR","PLEC"
"421","EGFR","PLSCR1"
"422","EGFR","PRKAR1A"
"423","EGFR","PRKCA"
"424","EGFR","PTK6"
"425","EGFR","PTPN11"
"426","EGFR","PTPN6"
"427","EGFR","RASA1"
"428","EGFR","RGS16"
"429","EGFR","RIPK1"
"430","EGFR","SH3BGRL"
"431","EGFR","SOCS1"
"432","EGFR","SOCS3"
"433","EGFR","SOS1"
"434","EGFR","SRC"
"435","EGFR","STAT1"
"436","EGFR","STAT5A"
"437","EGFR","STAT5B"
"438","EGFR","VAV1"
"439","EGFR","GAB1"
"440","EGFR","STAT3"
"441","EID2","SMAD2"
"442","EID2","SMAD4"
"443","EIF3I","TGFBR2"
"444","EIF4EBP1","EIF4E"
"445","EGFR","ELF3"
"446","ELF3","MYC"
"447","ELK1","ID2"
"448","ELK1","ID3"
"449","ELK1","MAPK3"
"450","ELK3","ID2"
"451","ELK4","ID2"
"452","ELK4","ID3"
"453","ENG","TGFBR2"
"454","EP300","MAML1"
"455","EP300","NCOA1"
"456","EP300","SMAD2"
"457","EP300","SMAD4"
"458","EP300","SMAD7"
"459","EP300","SNIP1"
"460","AR","EP300"
"461","CTNNB1","EP300"
"462","EPN1","EPS15"
"463","EPOR","KIT"
"464","ERBB2","ITGB4"
"465","ESR1","SMAD2"
