"","x"
"1","RABGGTA"
"2","MAPK3"
"3","TIE1"
"4","CYP2C19"
"5","CXCR5"
"6","DUSP1"
"7","MMP10"
"8","DDR1"
"9","EIF2AK2"
"10","HINT1"
"11","DYRK4"
"12","MAPK11"
"13","YWHAE"
"14","KAT2B"
"15","SMAD5"
"16","POLG"
"17","LIMK1"
"18","IL13RA2"
"19","MSH6"
"20","WNT10B"
"21","HIPK3"
"22","CIB1"
"23","IFNG"
"24","IFNA14"
"25","EPO"
"26","CYP1A1"
"27","COL11A2"
"28","TOP3A"
"29","TXK"
"30","THBS4"
"31","TOP1"
"32","SRPK1"
"33","CXCR2"
"34","TIMP3"
"35","IL15"
"36","BAGE"
"37","IFNGR1"
"38","HIF1A"
"39","POU6F1"
"40","ABI2"
"41","EFNA5"
"42","RARRES1"
"43","RAD52"
"44","E2F5"
"45","RELA"
"46","IFIT5"
"47",""
"48","RXRG"
"49","NR1I3"
"50","MLANA"
"51","CEBPD"
"52","RFC2"
"53","RFC4"
"54","IL16"
"55","CRABP2"
"56","WASF3"
"57","NTRK3"
"58","RUNX3"
"59","IL10RA"
"60","TYRO3"
"61","TWF1"
"62","FLT3"
"63","IL12RB1"
"64","FLT3LG"
"65","PTGS2"
"66","RAB40AL"
"67","GTF2B"
"68","GATA2"
"69","TCEA1"
"70","RAB1A"
"71","IFNA16"
"72","IL1A"
"73","RAG1"
"74","PRLR"
"75","CYP1A2"
"76","ODC1"
"77","PLCG1"
"78","MUC1"
"79","ABL2"
"80","PLCG2"
"81","CSF2RB"
"82","EPOR"
"83","BDNF"
"84","RABEPK"
"85","PRKAR1B"
"86","EDN2"
"87","PPP2R1B"
"88","HGF"
"89","CD19"
"90","CCR7"
"91","THPO"
"92","CSPG4"
"93","IRAK1"
"94","APBB1"
"95","NR3C1"
"96","ANG"
"97","TRAC"
"98","ISG15"
"99","EPHA1"
"100","PDGFA"
"101","TRDV2"
"102","NCAM1"
"103","BMP2"
"104","BMP4"
"105","PF4"
"106","CDA"
"107","PTGER4"
"108","RPA2"
"109","TAF1"
"110","GSTM3"
"111","GHRHR"
"112","MLL"
"113","CD44"
"114","RPS6KA1"
"115","CCR1"
"116","GBX1"
"117","MAPT"
"118","MAP2K1"
"119","MAP2K2"
"120","RARG"
"121","EN2"
"122","TNK2"
"123","GRK5"
"124","DTYMK"
"125","SLC20A2"
"126","SLC20A1"
"127","GNA13"
"128","ITGAE"
"129","MC5R"
"130","FGFR2"
"131","CD4"
"132","NR2F1"
"133","NRG1"
"134","TFEB"
"135","THBS1"
"136","PTPRE"
"137","RPL22"
"138","EIF2S1"
"139","SP1"
"140","IFNAR1"
"141","CALM3"
"142","IL7"
"143","PRKAR2A"
"144","CYC1"
"145","HSP90AB1"
"146","GNL1"
"147","PIK3CB"
"148","UBE2D1"
"149","IL18"
"150","PSMD2"
"151","MMP15"
"152","PCDHB17"
"153","PCDHGB7"
"154","HSPA6"
"155","CSF1"
"156","POU2F1"
"157","SAT1"
"158","MOS"
"159","CYP2C8"
"160","ITGB3"
"161","DHFR"
"162","HSPA8"
"163","ITPKA"
"164","PLCL1"
"165","CCL17"
"166","PSME2"
"167","IL3RA"
"168","GDF10"
"169","LIG3"
"170","CDK8"
"171","PTPRO"
"172","PSMD11"
"173","PSMD12"
"174","UBE3A"
"175","ITGB1BP1"
"176","RCC1"
"177","ACTG2"
"178","EDNRB"
