"","V1","V2"
"1","NRG1","TRIM28"
"2","PSMD2","TUBGCP2"
"3","HSPA8","RAD52"
"4","PSMD2","UQCRFS1"
"5","EIF2AK2","PTGES3"
"6","PSMD2","UBA1"
"7","PSMD2","PSMD9"
"8","ITGB3","PI4KB"
"9","HSPA8","UBN1"
"10","PSMD2","VIM"
"11","SAT1","GNB2L1"
"12","PSMD2","SRSF4"
"13","HSPA8","NF2"
"14","RPL22","TRAM1"
"15","GNA13","TEC"
"16","PPP2R1B","PSMC5"
"17","FGFR2","FGF5"
"18","CSF2RB","EPOR"
"19","HSPA8","PABPC1"
"20","CSF1","MYC"
"21","PPP2R1B","SF3B2"
"22","NRG1","RPL22"
"23","HSPA8","ILF2"
"24","MUC1","SOS1"
"25","TCEA1","POLR2G"
"26","HSPA6","IKBKG"
"27","YWHAE","YWHAQ"
"28","PSMD2","TKT"
"29","PSMD2","RFC5"
"30","CCR1","CCL15"
"31","CYC1","UQCRQ"
"32","HSPA6","SREK1"
"33","RPL22","RPS25"
"34","SAT1","TCF25"
"35","RPL22","RPS8"
"36","SP1","CYP21A2"
"37","HSP90AB1","TRRAP"
"38","PSMD2","SFPQ"
"39","HSPA8","PPIA"
"40","IRAK1","UBC"
"41","PSMD2","SBNO2"
"42","HSPA6","KHDRBS1"
"43","HSPA8","SFPQ"
"44","HSPA8","TP53"
"45","NRG1","RPS6KA4"
"46","GNA13","F2RL3"
"47","NRG1","PARP1"
"48","PPP2R1B","PRPF6"
"49","HSPA8","NBN"
"50","NRG1","TCP1"
"51","RPL22","RPS11"
"52","HSP90AB1","TP53"
"53","HSP90AB1","PICALM"
"54","FGFR2","FGFR4"
"55","CSF1","SDHA"
"56","HSPA8","MAGED2"
"57","HIF1A","MAX"
"58","HSPA8","MYB"
"59","CSF1","PDHA2"
"60","PPP2R1B","TRIP13"
"61","CSF1","PCBP2"
"62","PPP2R1B","U2AF2"
"63","ITGB3","CSF1"
"64","HSP90AB1","RPLP1"
"65","HSP90AB1","NOLC1"
"66","CSF2RB","EPX"
"67","PSMD2","SQSTM1"
"68","HSP90AB1","NCOR2"
"69","NRG1","SRSF1"
"70","HSP90AB1","PNN"
"71","HSP90AB1","HSPH1"
"72","HSP90AB1","IKBKG"
"73","CSF1","ACACB"
"74","PSMD2","TP53"
"75","CD4","GRAP2"
"76","PPP2R1B","SFPQ"
"77","CYC1","NONO"
"78","HSP90AB1","NONO"
"79","HSPA6","SRSF1"
"80","HIF1A","EPO"
"81","HIF1A","IGFBP1"
"82","CYC1","GANAB"
"83","ITGB3","FCER2"
"84","HSPA8","PUF60"
"85","CSF1","KARS"
"86","LIMK1","UBC"
"87","EPOR","UBC"
"88","PSMD2","SND1"
"89","RPL22","SEC61G"
"90","PSMD2","UBC"
"91","HSP90AB1","STK24"
"92","HSPA8","NCL"
"93","HSPA6","PCBP2"
"94","HSP90AB1","POLR3D"
"95","CD4","SPN"
"96","CSF1","ETV6"
"97","NCAM1","SPTB"
"98","FLT3","UBC"
"99","HSP90AB1","NCL"
"100","MUC1","TP53"
"101","PPP2R1B","RPL4"
"102","EPOR","SHC1"
"103","CSF2RB","CCL15"
"104","FGFR2","FGF3"
"105","NRG1","SNX3"
"106","HSP90AB1","ILK"
"107","SP1","GYPB"
"108","PPP2R1B","TRAP1"
"109","APBB1","WAS"
"110","NRG1","PCBP1"
"111","CCR1","GPR15"
"112","PSMD2","PSMB7"
"113","LIMK1","MMP14"
"114","PSMD2","SNRNP200"
"115","ITGB3","PDGFB"
"116","HSP90AB1","KIAA1279"
"117","HSPA8","NCOR2"
"118","UBE2D1","YY1"
"119","HSPA6","RBM39"
"120","PSMD2","NCAPH"
"121","TWF1","RPS6KA4"
"122","PPP2R1B","PPP2R2B"
"123","CSPG4","GRIP2"
"124","CYC1","RCN1"
"125","HSP90AB1","PCBP1"
"126","NRG1","VIM"
"127","LIMK1","PXN"
"128","LIMK1","RAC1"
"129","HSP90AB1","PSMC5"
"130","SP1","SLC25A3"
"131","MAP2K2","PPP2R1A"
"132","POU2F1","YY1"
"133","PPP2R1B","TARDBP"
"134","ITGB3","PTPN11"
"135","PLCG2","SHC1"
"136","PSMD2","XRCC6"
"137","HSPA8","RPLP0"
"138","ITGB3","NCL"
"139","CYC1","UQCRH"
"140","CD4","IL3"
"141","CSF1","FZR1"
"142","CD4","ZAP70"
"143","HSPA8","TSG101"
"144","PSMD2","TANC2"
"145","HSPA8","U2AF2"
"146","CYC1","NDUFAF3"
"147","PSMD2","NDUFAF3"
"148","RPL22","RPS16"
"149","IL12RB1","ALOX12B"
"150","HSPA8","SEC61B"
"151","CD19","PAX5"
"152","PSMD2","ZNF238"
"153","HSP90AB1","TCP1"
"154","CCR1","CCL16"
"155","NRG1","CARD10"
"156","HSPA6","TCP1"
"157","RPL22","RPL27A"
"158","CYC1","TP53"
"159","RPL22","RPS18"
"160","EIF2AK2","RAC1"
"161","IRAK1","MAPK14"
"162","PSMD2","SART1"
"163","NRG1","PSMD1"
"164","PSMD2","TRIP13"
"165","APBB1","SF3A2"
"166","EPO","IRS2"
"167","ITGB3","SOS1"
"168","NRG1","PSMC5"
"169","PSMD2","FRMPD4"
"170","CSF2RB","IL5"
"171","TOP1","SLC25A4"
"172","CSF1","TRAP1"
"173","IL12RB1","IL27RA"
"174","HSP90AB1","ILF2"
"175","RPL22","RPL14"
"176","PPP2R1B","RAD50"
"177","HSP90AB1","SLC25A6"
"178","HSP90AB1","SRSF7"
"179","SP1","TFDP2"
"180","CD4","MAPK14"
"181","DUSP1","GRAP2"
"182","PSMD2","CDV3"
"183","SP1","YY1"
"184","HSP90AB1","HSPA1A"
"185","CSF2RB","SOS1"
"186","HSP90AB1","TUBGCP4"
"187","HSPA8","PAXIP1"
"188","CD4","GPR15"
"189","HSPA8","TRAF2"
"190","CSF1","PADI2"
"191","NRG1","PPP1CA"
"192","HIF1A","MYC"
"193","HSPA8","POLE"
"194","HSPA8","SRSF2"
"195","RPL22","RPL23A"
"196","EIF2S1","PCNA"
"197","PSMD2","PSMD4"
"198","PPP2R1B","PTBP1"
"199","NRG1","PSMC2"
"200","ITGB3","COL1A2"
"201","CXCR5","PMS2P5"
"202","CXCR5","TXNL1"
"203","CXCR5","FETUB"
"204","CXCR5","NXPH3"
"205","CYP2C19","NR2C1"
