"","V1","V2","NA"
"","AAK1","AP2M1","STATE_CHANGE"
"","ABL1","DOK1","IN_SAME_COMPONENT"
"","ABL1","SHC1","IN_SAME_COMPONENT"
"","ABL1","TP53BP1","IN_SAME_COMPONENT"
"","ABL1","ABL1","REACTS_WITH"
"","ABL1","CDK5","STATE_CHANGE"
"","ABL1","VAV2","STATE_CHANGE"
"","ABP1","DNM1","IN_SAME_COMPONENT"
"","ABP1","PCLO","IN_SAME_COMPONENT"
"","ABP1","ABP1","REACTS_WITH"
"","ACE","EIF4G2","IN_SAME_COMPONENT"
"","ACE","ACE","REACTS_WITH"
"","ACTB","DBNL","IN_SAME_COMPONENT"
"","ACTB","PFN1","IN_SAME_COMPONENT"
"","ACTB","SYN1","IN_SAME_COMPONENT"
"","ACTB","TLN1","IN_SAME_COMPONENT"
"","ACTB","ACTB","REACTS_WITH"
"","ACTN1","RPH3A","IN_SAME_COMPONENT"
"","ACTN1","ACTN1","REACTS_WITH"
"","ACTN3","CAMK2A","IN_SAME_COMPONENT"
"","ACTN3","DLG4","IN_SAME_COMPONENT"
"","ACTN3","GRIN2A","IN_SAME_COMPONENT"
"","ACTN3","ITGB1","IN_SAME_COMPONENT"
"","ACTN3","NCAPH","IN_SAME_COMPONENT"
"","ACTN3","PLD2","IN_SAME_COMPONENT"
"","ACTN3","RPH3A","IN_SAME_COMPONENT"
"","ACTN3","ACTN3","REACTS_WITH"
"","ADCY1","CALM1","IN_SAME_COMPONENT"
"","ADCY1","GNAS","IN_SAME_COMPONENT"
"","ADCY1","GNAZ","IN_SAME_COMPONENT"
"","ADCY1","ADCY1","REACTS_WITH"
"","ADCY2","GNAI3","IN_SAME_COMPONENT"
"","ADCY2","GNAS","IN_SAME_COMPONENT"
"","ADCY2","ADCY2","REACTS_WITH"
"","ADCY5","GNAI3","IN_SAME_COMPONENT"
"","ADCY5","GNAS","IN_SAME_COMPONENT"
"","ADCY5","GNAZ","IN_SAME_COMPONENT"
"","ADCY5","ADCY5","REACTS_WITH"
"","ADORA1","GNAI3","IN_SAME_COMPONENT"
"","ADORA1","ADORA1","REACTS_WITH"
"","ADORA2A","GNAS","IN_SAME_COMPONENT"
"","ADORA2A","ADORA2A","REACTS_WITH"
"","ADRA1A","GNA11","IN_SAME_COMPONENT"
"","ADRA1A","GNAQ","IN_SAME_COMPONENT"
"","ADRA1A","ADRA1A","REACTS_WITH"
"","ADRA2A","GNAI3","IN_SAME_COMPONENT"
"","ADRA2A","GNAO1","IN_SAME_COMPONENT"
"","ADRA2A","ADRA2A","REACTS_WITH"
"","ADRB2","ARRB1","IN_SAME_COMPONENT"
"","ADRB2","GNAS","IN_SAME_COMPONENT"
"","ADRB2","SLC9A3R1","IN_SAME_COMPONENT"
"","ADRB2","ADRB2","REACTS_WITH"
"","ADRBK1","CALM1","IN_SAME_COMPONENT"
"","ADRBK1","ADRBK1","REACTS_WITH"
"","ADRBK1","OPRM1","STATE_CHANGE"
"","AKAP5","CALM1","IN_SAME_COMPONENT"
"","AKAP5","DLG4","IN_SAME_COMPONENT"
"","AKAP5","PPP3R1","IN_SAME_COMPONENT"
"","AKAP5","PRKACA","IN_SAME_COMPONENT"
"","AKAP5","PRKCA","IN_SAME_COMPONENT"
"","AKAP5","AKAP5","REACTS_WITH"
"","AKAP9","GRIN2A","IN_SAME_COMPONENT"
"","AKAP9","PPP1CC","IN_SAME_COMPONENT"
"","AKAP9","PRKACA","IN_SAME_COMPONENT"
"","AKAP9","AKAP9","REACTS_WITH"
"","AKT1","RASGRP3","IN_SAME_COMPONENT"
"","AKT1","AKT1","REACTS_WITH"
"","AKT1","BAD","STATE_CHANGE"
"","AKT1","CASP9","STATE_CHANGE"
"","AKT1","FOXO1","STATE_CHANGE"
"","AKT1","GSK3A","STATE_CHANGE"
"","AKT1","RAF1","STATE_CHANGE"
"","AKT1","TP53BP1","STATE_CHANGE"
"","AMPH","CLTC","IN_SAME_COMPONENT"
"","AMPH","DNM1","IN_SAME_COMPONENT"
"","AMPH","SYNJ1","IN_SAME_COMPONENT"
"","AMPH","AMPH","REACTS_WITH"
"","ANAPC1","AXIN1","IN_SAME_COMPONENT"
"","ANAPC1","CTNNB1","IN_SAME_COMPONENT"
"","ANAPC1","ANAPC1","REACTS_WITH"
"","ANK1","ITPR1","IN_SAME_COMPONENT"
"","ANK1","L1CAM","IN_SAME_COMPONENT"
"","ANK1","NFASC","IN_SAME_COMPONENT"
"","ANK1","NRCAM","IN_SAME_COMPONENT"
"","ANK1","SPTBN2","IN_SAME_COMPONENT"
"","ANK1","ANK1","REACTS_WITH"
"","ANP32A","APAF1","IN_SAME_COMPONENT"
"","ANP32A","ANP32A","REACTS_WITH"
"","AP1B1","CLTA","IN_SAME_COMPONENT"
"","AP1B1","DNM1","IN_SAME_COMPONENT"
"","AP1B1","GABRA1","IN_SAME_COMPONENT"
"","AP1B1","SYP","IN_SAME_COMPONENT"
"","AP1B1","AP1B1","REACTS_WITH"
"","AP1G1","SYP","IN_SAME_COMPONENT"
"","AP1G1","AP1G1","REACTS_WITH"
"","AP2A1","CLTC","IN_SAME_COMPONENT"
"","AP2A1","EPN1","IN_SAME_COMPONENT"
"","AP2A1","EPN2","IN_SAME_COMPONENT"
"","AP2A1","SNAP91","IN_SAME_COMPONENT"
"","AP2A1","STON2","IN_SAME_COMPONENT"
"","AP2A1","SYNJ1","IN_SAME_COMPONENT"
"","AP2A1","SYT1","IN_SAME_COMPONENT"
"","AP2A1","AP2A1","REACTS_WITH"
"","AP2B1","CLTC","IN_SAME_COMPONENT"
"","AP2B1","EPN2","IN_SAME_COMPONENT"
"","AP2B1","AP2B1","REACTS_WITH"
"","AP2M1","L1CAM","IN_SAME_COMPONENT"
"","AP2M1","SYT1","IN_SAME_COMPONENT"
"","AP2M1","AP2M1","REACTS_WITH"
"","AP2S1","ARRB1","IN_SAME_COMPONENT"
"","AP2S1","CLTA","IN_SAME_COMPONENT"
"","AP2S1","GRIA1","IN_SAME_COMPONENT"
"","AP2S1","L1CAM","IN_SAME_COMPONENT"
"","AP2S1","SYT1","IN_SAME_COMPONENT"
"","AP2S1","AP2S1","REACTS_WITH"
"","APAF1","COX5B","IN_SAME_COMPONENT"
"","APAF1","APAF1","REACTS_WITH"
"","APBA1","CACNA1B","IN_SAME_COMPONENT"
"","APBA1","CASK","IN_SAME_COMPONENT"
"","APBA1","CASKIN1","IN_SAME_COMPONENT"
"","APBA1","CSNK1G1","IN_SAME_COMPONENT"
"","APBA1","LIN7B","IN_SAME_COMPONENT"
"","APBA1","LIN7C","IN_SAME_COMPONENT"
"","APBA1","NRXN1","IN_SAME_COMPONENT"
"","APBA1","APBA1","REACTS_WITH"
"","APBA2","NRXN1","IN_SAME_COMPONENT"
"","APBA2","APBA2","REACTS_WITH"
"","ARFGAP1","ARFGAP1","SEQUENTIAL_CATALYSIS"
"","ARFGEF2","ARFGEF2","SEQUENTIAL_CATALYSIS"
"","ARHGAP1","ARHGEF7","IN_SAME_COMPONENT"
"","ARHGAP1","CIT","IN_SAME_COMPONENT"
"","ARHGAP1","PIP4K2A","IN_SAME_COMPONENT"
"","ARHGAP1","PRKCA","IN_SAME_COMPONENT"
"","ARHGAP1","ROCK2","IN_SAME_COMPONENT"
"","ARHGAP1","ARHGAP1","REACTS_WITH"
"","ARHGAP32","CRK","IN_SAME_COMPONENT"
"","ARHGAP32","SHC1","IN_SAME_COMPONENT"
"","ARHGAP32","ARHGAP32","REACTS_WITH"
"","ARHGAP32","ARHGAP1","STATE_CHANGE"
"","ARHGAP32","CDC42","STATE_CHANGE"
"","ARHGAP32","RAC1","STATE_CHANGE"
"","ARHGEF12","IGF1R","IN_SAME_COMPONENT"
"","ARHGEF12","ARHGEF12","REACTS_WITH"
"","ARHGEF12","ARHGAP1","STATE_CHANGE"
"","ARHGEF1","GNA12","IN_SAME_COMPONENT"
"","ARHGEF1","GNA13","IN_SAME_COMPONENT"
"","ARHGEF1","MAPK8IP1","IN_SAME_COMPONENT"
"","ARHGEF1","ARHGEF1","REACTS_WITH"
