"","V1","V2","NA"
"","AATF","RB1","IN_SAME_COMPONENT"
"","AATF","TFDP1","IN_SAME_COMPONENT"
"","AATF","AATF","REACTS_WITH"
"","AATF","HDAC1","REACTS_WITH"
"","ABI1","BRK1","IN_SAME_COMPONENT"
"","ABI1","CYFIP2","IN_SAME_COMPONENT"
"","ABI1","EPS8","IN_SAME_COMPONENT"
"","ABI1","ITGA4","IN_SAME_COMPONENT"
"","ABI1","ITGB1","IN_SAME_COMPONENT"
"","ABI1","NCKAP1","IN_SAME_COMPONENT"
"","ABI1","SOS1","IN_SAME_COMPONENT"
"","ABI1","VCAM1","IN_SAME_COMPONENT"
"","ABI1","WASF2","IN_SAME_COMPONENT"
"","ABI1","WASL","IN_SAME_COMPONENT"
"","ABI1","ABI1","REACTS_WITH"
"","ABI1","USP6NL","REACTS_WITH"
"","ABI1","ACTR3","STATE_CHANGE"
"","ABI1","ARPC1B","STATE_CHANGE"
"","ABI1","ARPC2","STATE_CHANGE"
"","ABI1","ARPC3","STATE_CHANGE"
"","ABI1","ARPC5","STATE_CHANGE"
"","ABI1","DIAPH1","STATE_CHANGE"
"","ABI1","DIAPH3","STATE_CHANGE"
"","ABI1","RAC1","STATE_CHANGE"
"","ABI2","BRK1","IN_SAME_COMPONENT"
"","ABI2","CYFIP2","IN_SAME_COMPONENT"
"","ABI2","NCKAP1","IN_SAME_COMPONENT"
"","ABI2","WASF1","IN_SAME_COMPONENT"
"","ABL1","BAIAP2","CO_CONTROL"
"","ABL1","RAC1","CO_CONTROL"
"","ABL1","CABLES1","IN_SAME_COMPONENT"
"","ABL1","RB1","IN_SAME_COMPONENT"
"","ABL1","ROBO1","IN_SAME_COMPONENT"
"","ABL1","SLIT1","IN_SAME_COMPONENT"
"","ABL1","TERT","IN_SAME_COMPONENT"
"","ABL1","ABL1","REACTS_WITH"
"","ABL1","ABI1","STATE_CHANGE"
"","ABL1","BRK1","STATE_CHANGE"
"","ABL1","CDH2","STATE_CHANGE"
"","ABL1","CDK5","STATE_CHANGE"
"","ABL1","CTNNA1","STATE_CHANGE"
"","ABL1","CTNNB1","STATE_CHANGE"
"","ABL1","CTNND1","STATE_CHANGE"
"","ABL1","CYFIP2","STATE_CHANGE"
"","ABL1","EPS8","STATE_CHANGE"
"","ABL1","MDM2","STATE_CHANGE"
"","ABL1","NCKAP1","STATE_CHANGE"
"","ABL1","PDGFB","STATE_CHANGE"
"","ABL1","PDGFRB","STATE_CHANGE"
"","ABL1","PLCG1","STATE_CHANGE"
"","ABL1","SOS1","STATE_CHANGE"
"","ABL1","WASF2","STATE_CHANGE"
"","ABR","RAC1","STATE_CHANGE"
"","ABR","RHOA","STATE_CHANGE"
"","ACAP1","ACAP1","CO_CONTROL"
"","ACAP1","GULP1","CO_CONTROL"
"","ACAP1","CLTC","IN_SAME_COMPONENT"
"","ACAP1","SLC2A4","IN_SAME_COMPONENT"
"","ACD","POT1","IN_SAME_COMPONENT"
"","ACD","TERF1","IN_SAME_COMPONENT"
"","ACD","TINF2","IN_SAME_COMPONENT"
"","ACD","ACD","REACTS_WITH"
"","ACD","TERF2","REACTS_WITH"
"","ACD","TERF2IP","REACTS_WITH"
"","ACP1","EFNA1","IN_SAME_COMPONENT"
"","ACP1","EPHA2","IN_SAME_COMPONENT"
"","ACP1","ACP1","REACTS_WITH"
"","ACP1","ARHGAP35","STATE_CHANGE"
"","ACTA1","ACTA1","REACTS_WITH"
"","ACTA1","ACTN1","REACTS_WITH"
"","ACTL6A","MAX","CO_CONTROL"
"","ACTL6A","MYC","CO_CONTROL"
"","ACTL6A","KAT5","IN_SAME_COMPONENT"
"","ACTL6A","RUVBL1","IN_SAME_COMPONENT"
"","ACTL6A","RUVBL2","IN_SAME_COMPONENT"
"","ACTL6A","TRRAP","IN_SAME_COMPONENT"
"","ACTL6A","CAD","METABOLIC_CATALYSIS"
"","ACTL6A","GPAM","METABOLIC_CATALYSIS"
"","ACTL6A","HSPD1","METABOLIC_CATALYSIS"
"","ACTL6A","NCL","METABOLIC_CATALYSIS"
"","ACTL6A","NME1","METABOLIC_CATALYSIS"
"","ACTL6A","PTMA","METABOLIC_CATALYSIS"
"","ACTL6A","ACTL6A","REACTS_WITH"
"","ACTN1","ILK","IN_SAME_COMPONENT"
"","ACTN1","LIMS1","IN_SAME_COMPONENT"
"","ACTN1","PARVB","IN_SAME_COMPONENT"
"","ACTN1","SDC4","IN_SAME_COMPONENT"
"","ACTN1","ACTN1","REACTS_WITH"
"","ACTN1","LPP","STATE_CHANGE"
"","ACTN4","RAB5A","IN_SAME_COMPONENT"
"","ACTN4","USP6NL","IN_SAME_COMPONENT"
"","ACTN4","ACTN4","REACTS_WITH"
"","ACTR3","ARPC1B","IN_SAME_COMPONENT"
"","ACTR3","ARPC2","IN_SAME_COMPONENT"
"","ACTR3","ARPC3","IN_SAME_COMPONENT"
"","ACTR3","ARPC5","IN_SAME_COMPONENT"
"","ACVR1","ACVR2A","IN_SAME_COMPONENT"
"","ACVR1","AMH","IN_SAME_COMPONENT"
"","ACVR1","AMHR2","IN_SAME_COMPONENT"
"","ACVR1","BMP7","IN_SAME_COMPONENT"
"","ACVR1","BMPR2","IN_SAME_COMPONENT"
"","ACVR1","FKBP1A","IN_SAME_COMPONENT"
"","ACVR1","ACVR1","REACTS_WITH"
"","ACVR1","INHBA","REACTS_WITH"
"","ACVR2A","INHBA","IN_SAME_COMPONENT"
"","ACVR2A","ACVR2A","REACTS_WITH"
"","ACVRL1","ACVRL1","CO_CONTROL"
"","ACVRL1","BMPR2","CO_CONTROL"
"","ACVRL1","CAV1","CO_CONTROL"
"","ACVRL1","GDF2","CO_CONTROL"
"","ACVRL1","PPP1CA","CO_CONTROL"
"","ACVRL1","TGFB1","CO_CONTROL"
"","ACVRL1","TGFBR1","CO_CONTROL"
"","ACVRL1","TGFBR2","CO_CONTROL"
"","ACVRL1","CSNK2B","IN_SAME_COMPONENT"
"","ACVRL1","FKBP1A","IN_SAME_COMPONENT"
"","ACVRL1","INHBA","IN_SAME_COMPONENT"
"","ACVRL1","TGFB3","IN_SAME_COMPONENT"
"","ADAM10","CDH1","STATE_CHANGE"
"","ADAM10","CDH2","STATE_CHANGE"
