sym	gene_id_x	ln_expr_Vec_Tam_5_counts	ln_expr_N1ICD_Tam_6_counts	ln_expr_Vec_Tam_11_counts	ln_expr_Control_A3	ln_expr_DDIS_C3	ln_expr_Vec_Tam_4_counts	ln_expr_Vec_2_counts	ln_expr_N1ICD_Tam_1_counts	ln_expr_RIS_A2	ln_expr_DDIS_A2	ln_expr_N1ICD_12_counts	ln_expr_N1ICD_7_counts	ln_expr_Control_C2	ln_expr_N1ICD_2_counts	ln_expr_N1ICD_Tam_10_counts	ln_expr_Control_B1	ln_expr_Vec_Tam_1_counts	ln_expr_N1ICD_4_counts	ln_expr_RIS_C2	ln_expr_Control_A2	ln_expr_N1ICD_Tam_11_counts	ln_expr_Vec_10_counts	ln_expr_DDIS_A1	ln_expr_Vec_6_counts	ln_expr_DDIS_C1	ln_expr_RIS_A3	ln_expr_N1ICD_Tam_3_counts	ln_expr_Vec_12_counts	ln_expr_RIS_B2	ln_expr_RIS_B1	ln_expr_Vec_8_counts	ln_expr_Vec_Tam_3_counts	ln_expr_RIS_C1	ln_expr_Control_C1	ln_expr_N1ICD_Tam_9_counts	ln_expr_DDIS_A3	ln_expr_Control_C3	ln_expr_Control_A1	ln_expr_Vec_9_counts	ln_expr_RIS_C3	ln_expr_DDIS_C2	ln_expr_RIS_A1	ln_expr_N1ICD_8_counts	ln_expr_DDIS_B2	ln_expr_N1ICD_5_counts	ln_expr_Control_B2	ln_expr_DDIS_B1	ln_expr_Vec_Tam_7_counts	ln_C12.rna	ln_C3.rna	ln_Q.rna	ln_preS.rna	ln_S.rna	ln_Tr.rna	ln_C12.rp	ln_C3.rp	ln_Q.rp	ln_preS.rp	ln_S.rp	ln_Tr.rp	ln_BJ_Y1	ln_BJ_Y2	ln_BJ_Y3	ln_BJ_OLD_1	ln_BJ_OLD_2	ln_BJ_OLD_3	ln_IMR90_Y1	ln_IMR90_Y2	ln_IMR90_Y3	ln_IMR90_O1	ln_IMR90_O2	ln_IMR90_O3	ln_WI_38_Y1	ln_WI_38_Y2	ln_WI_38_Y3	ln_WI_38_O1	ln_WI_38_O2	ln_WI_38_O3	ln_HFF_PD16_1	ln_HFF_PD16_2	ln_HFF_PD16_3	ln_HFF_PD74_1	ln_HFF_PD74_2	ln_HFF_PD74_3	ln_MRC_5_PD32_1	ln_MRC_5_PD32_2	ln_MRC_5_PD32_3	ln_MRC_5_PD72_1	ln_MRC_5_PD72_2	ln_MRC_5_PD72_3	ln_HFF_PD26_1 	ln_HFF_PD26_2 	ln_HFF_PD26_3 	ln_HFF_PD46_1 	ln_HFF_PD46_2 	ln_HFF_PD46_3 	ln_HFF_PD64_1	ln_HFF_PD64_2	ln_HFF_PD64_3	ln_MRC_5_PD42_1 	ln_MRC_5_PD42_2 	ln_MRC_5_PD42_3 	ln_MRC_5_PD52_1 	ln_MRC_5_PD52_2 	ln_MRC_5_PD52_3 	ln_MRC_5_PD62_1	ln_MRC_5_PD62_2	ln_MRC_5_PD62_3	ln_baseMeanA_sum	ln_baseMeanB_sum
CFH	ENSG00000000971	2.25698133103	0.961999937117	2.28744975583	2.89282422411	2.86783429928	2.38944795143	3.56241476163	1.09975056282	1.82963236451	2.34672753433	1.50455048338	1.08509375232	1.77587410053	1.78766376932	1.1153457547	2.69743285884	2.13801101818	1.71973645289	2.51684118904	2.59034590776	1.28609082628	3.4900757597	1.10879133846	3.59387595306	2.62666471274	2.31256318634	1.07898897809	3.61927436853	2.20629680539	2.38285852596	3.60614659864	2.36743402683	1.85188313846	2.84390956566	1.02467775182	2.93778467017	2.81446113766	2.39315930504	3.40223987235	0.695288148946	2.65280164995	1.90816032639	1.30099917025	2.47307485356	1.6449758033	2.76005651998	2.61561198834	2.4143565905	2.03992078352	2.69259809654	2.50143595174	2.20937271127	2.90306858869	1.58923520512	2.75366071235	3.51779452925	3.15188095604	3.06432506502	4.34976167409	2.72326716691	1.72988406551	1.72097928717	1.66770682056	2.60786147385	2.57794151576	2.60712428251	1.3480731483	1.35840915763	1.42310833424	1.38629436112	0.887891257352	1.33762918914	1.43983512805	1.39871688112	1.45161382724	1.65632149833	1.64287268852	1.67896397508	-0.248461359298	0.0392207131533	-0.0943106794712	3.53485376647	3.45125658153	3.42067315816	1.76644166124	1.82454929205	1.86562931779	-0.223143551314	0.0676586484738	0.0769610411361	1.26732336049	1.31722389046	1.17878700301	2.48251204668	2.42742267031	2.06150297716	2.73782786742	2.74511574932	2.76335147935	1.78193594654	1.80453518479	1.73189219733	1.80869741489	2.0044426855	1.91184800207	2.09845771752	1.78594461016	2.07554533808	5.4822480805	5.8978502964
CYP51A1	ENSG00000001630	-0.0282910704376	0.234748887136	-0.0498043379971	0.935070182298	0.0468993509068	-0.0260218888412	-0.193710869753	0.133577020241	0.425763435924	0.460700876842	0.086361501016	0.434270145874	0.515106015586	-0.0515232305275	0.499239983048	0.63026971284	0.00820508620929	0.433650559953	0.333172962829	0.777545663088	0.241595898597	-0.379943940644	0.775363821568	-0.0413505592373	0.316903759501	0.542449862795	0.350875487354	-0.20014630372	0.260279781906	0.281046244544	-0.488965412731	-0.500365230517	0.412922890057	0.320053488817	0.733214434027	0.205515358877	0.843485749408	0.830389093866	-0.0956693973368	0.426399153196	0.672649880937	0.213895619475	0.316275453677	0.966790919543	0.228367848935	0.686029929056	0.634427694716	-0.0981749626131	2.94285878395	3.16589690008	4.53935084495	3.35025490292	3.44009753062	3.16209381077	3.80086795606	4.27819273093	5.37310011099	4.52536911578	5.1348568174	4.23294641166	-0.527632742082	-0.69314718056	-0.371063681391	-0.356674943939	-0.150822889735	-0.328504066972	-0.510825623766	-0.415515443962	-0.597837000756	-0.274436845702	0.425267735404	0.412109650827	-0.274436845702	-0.73396917508	-0.798507696218	-0.478035800943	-0.527632742082	-0.616186139424	0.0769610411361	0.215111379617	0.0487901641694	-0.301105092784	-0.210721031316	-0.0202027073175	0.277631736598	0.357674444272	0.058268908124	0.113328685307	-0.116533816256	0.0198026272962	0.194651480736	0.0331397983486	0.144625118809	0.286915607793	0.39620562645	-1.77464092911	0.222110340936	0.21668470178	0.0700259554053	0.211408367406	0.106668296939	0.0280369710573	0.291179685167	0.350410337705	0.30584744179	0.719972193091	0.173770875358	0.686780412638	4.59787034894	4.37213581985
ALS2	ENSG00000003393	2.5015291036	2.43958362819	2.49141224829	2.21786374435	2.06019588007	2.4159256559	2.30793842732	2.54233857417	2.23919409864	2.19113461999	2.48570505243	2.58496654444	2.07602051685	2.51196531259	2.51484865197	2.14572781376	2.41766433081	2.39305132091	2.18799915102	2.23986950047	2.61203895859	2.32649976908	1.99015265451	2.42222509382	2.15132107606	2.1160481122	2.57199411313	2.33205126321	2.30342927421	2.13858824429	2.35274429542	2.49765919207	2.26159743952	2.00792761754	2.51649453258	2.04147787275	2.2355476796	2.0285800354	2.32960692095	1.61074696064	2.39826433764	2.23441239661	2.46174375595	2.43265207932	2.44058529183	2.24336518609	2.39014018258	2.48049276605	2.25023861262	2.50470927708	2.44408465527	2.39242579699	2.68988623047	2.06559613486	1.77325599766	2.06305806243	1.86097453825	2.21046980409	2.38784493694	1.69377906087	2.01223279199	2.02946317187	2.01490302054	2.29656702067	2.2607208889	2.28442112237	1.81645208182	1.77664583142	1.81645208182	1.78842056796	1.6213664833	1.74046617484	1.99061032797	1.97408102602	1.9358598132	1.68454538492	1.70110510096	1.58719230349	2.1494339135	2.12942147398	2.16791018967	1.91102289005	1.97129938306	1.94876321804	1.85473426839	1.87640694329	1.8594181177	1.76301700036	1.78170913337	1.82454929205	2.15405075091	2.16913973553	2.17890842869	2.05623889171	2.0116763598	1.67764998157	1.98383655793	1.96561403646	1.90806125727	1.95681395929	1.94837887097	1.94220622972	1.87699288828	1.8768555947	1.91554426255	1.76284475483	1.43348825717	1.84768964181	6.36183728281	6.30142245054
CFLAR	ENSG00000003402	1.62460760291	1.93413132782	1.48792708031	1.11822353986	1.76816240579	1.5600081836	1.69121141561	1.98852177123	1.23935296449	1.58967508041	1.83876071247	1.93865237386	1.29730923033	1.73027151368	1.95778326004	1.17947707983	1.49240509679	1.78704254819	1.29769773437	1.41984803692	2.05341853052	1.59317422151	1.73351914482	1.60374261065	1.80595299916	1.29867759114	1.93578808517	1.64209692491	1.32103258554	1.24128835429	1.65380727189	1.52182122608	1.29043628461	1.17141417056	1.90213892959	1.76704345042	1.37587716576	1.21156179757	1.60046883559	1.17305743052	1.69741473285	1.28378090667	1.7726055243	1.61639601285	1.71898571637	1.34589429161	1.78127402305	1.57619186806	2.16791018967	2.84316367491	2.38324299601	2.22678337958	3.01944880017	2.78686138153	2.28543893416	2.87073578338	2.42391737816	1.90657514366	3.08511583469	3.18759153483	1.57277392806	1.56024766824	1.57691472073	2.02551319965	1.95018670582	1.94017947435	1.1755733298	1.20297230399	1.24703229379	1.14422279992	1.57069708412	1.75958057086	1.34025042262	1.33762918914	1.32972400963	1.69193913395	1.71918877639	1.65249740189	1.5325568681	1.51732262353	1.54115907168	1.72276659774	1.84687876845	1.8405496334	1.41585316336	1.3812818193	1.28923264828	1.66203036255	1.66770682056	1.6213664833	1.84147492994	1.86404403543	1.76282514028	1.7409488827	1.84338315629	1.15314164261	1.86972965163	1.77708910338	1.77943528212	1.38930049542	1.29178078442	1.24608734516	1.21891444113	1.29539103896	1.35447259046	1.41323387291	0.674482487341	1.38185407563	3.32478145055	4.25022961621
TFPI	ENSG00000003436	4.09249111637	5.03096139296	4.06491357204	3.53425513571	4.26928904215	4.16511245497	4.58687200835	5.42933197025	3.51142824137	3.87468015783	5.11889297931	4.96354844668	2.87731099967	5.22892169062	4.95763835614	3.23070544815	4.00645709145	5.11208003012	3.74868102638	3.05120591951	5.1014519253	4.62711473845	3.43165089995	4.70874063166	4.23727375335	3.86738701819	5.31247205633	4.78907030067	3.68162662243	3.69889045452	4.69368806508	4.24317025675	3.40960478193	3.44841320466	5.13470091072	4.16472169035	3.30630909444	2.82750142513	4.40383754299	2.96520219428	4.11814883884	3.31133912412	4.93967343401	4.11687227047	5.03999709176	3.27917908057	4.09337055267	4.10007840008	2.75810940097	2.85704475378	3.29435428604	2.83497649467	3.00716665118	3.33719205169	4.75522678219	4.72968606069	4.89027393743	4.61492247743	5.60097425467	5.47771799491	1.19694818939	1.14103300455	1.22082992139	1.49514876603	1.46325540226	1.50629715351	2.66095859357	2.7040421797	2.74148497719	2.78130066284	3.15273602236	2.42480272572	2.32727770558	2.2533948488	2.28949985345	2.80214752448	2.91126311693	2.91560622907	1.57484646766	1.54756250872	1.6134299337	2.01490302054	1.88858365386	1.91545094157	2.6518325211	2.59525470696	2.6166656393	2.57108434603	2.4578779774	2.54160199346	1.5598420818	1.61402159449	1.56649540183	1.32418877453	1.38809627794	1.67472445829	1.67092248514	1.64513793831	1.70549357848	2.37361741898	2.38718716327	2.41636743699	2.24530828017	2.32469988341	2.27350154422	2.82291639075	2.85884455992	2.8556626354	5.74424922285	5.38385739001
ST7	ENSG00000004866	2.21749982768	3.68654755467	2.29094836855	1.97069630584	2.22747810037	2.18416315382	2.23862220398	3.68121056661	1.7970513138	2.32371420711	3.64771626886	3.65797908679	1.79396244901	3.6930310573	3.88865391016	1.61069128203	2.15683223587	3.57592133216	1.94771762656	1.89655339557	3.76226538667	2.19326935857	2.05746174891	2.179597252	2.1427575169	1.94141762163	3.71171210341	2.2264635213	1.99036974189	2.10846862971	2.12026760372	2.13010000604	1.95626421495	1.86166261165	3.80941867783	2.19999182871	1.73934993057	1.93597380601	2.12976316355	2.08440338641	2.16928792253	1.84546659562	3.70516540907	2.17932471003	3.64275529069	1.90309887471	1.96854680681	2.28478827879	2.23964529322	1.95727390771	1.99605993274	2.2533948488	2.39607543608	1.89311196349	2.56263899833	2.28747145518	2.04769284337	2.17019590495	3.20801708153	1.95727390771	1.02604159583	0.970778917158	0.940007258491	0.93609335917	0.896088024557	1.03318448335	1.21491274436	1.07500242303	1.11514159062	1.08518926834	1.90359895098	1.71199450076	1.1755733298	1.07500242303	1.1600209168	1.24415459396	1.20597080699	1.21491274436	1.12492959699	1.11841491596	1.11841491596	1.35583515364	1.34286480319	1.29198368165	1.05082162483	0.96698384619	1.08180517035	1.27256559579	1.28647402584	1.26976054486	1.07220502796	1.01903695529	1.01783866005	1.05448850026	1.14660056919	0.944724015909	1.18231415928	1.20681958051	1.12217249838	0.857091442039	0.965604662092	0.873387564465	0.956599529387	0.905276100935	0.900458507821	1.14628779628	1.08334106145	1.15534962012	4.54717950834	4.44545129943
LIG3	ENSG00000005156	2.11001160348	1.74538942324	1.97871612351	2.22091016588	1.6787287158	2.08773967616	2.13835162209	1.86607531548	1.89435750226	1.864155641	1.56306535211	1.67961589949	2.42456711708	1.69838542243	1.95777360235	2.29678463572	2.07751488864	1.63252941906	1.78041613962	2.203580115	1.90243436347	2.14591949311	1.84196165974	2.05873090186	1.58036445886	1.70069998277	1.81915339813	2.05475570437	1.68221082223	1.68819241194	2.0548023693	1.99379134331	1.7874608162	2.19688936299	1.91704289981	1.76778026038	2.23625610768	2.28892271317	2.04084915479	1.79822337347	1.83663798286	1.8012732218	1.68050950468	1.70020799223	1.67972010883	2.30443627362	1.77458025468	1.99023501119	2.34084380511	2.1494339135	1.98650354602	2.30058309032	1.90657514366	2.1552445051	2.43886271129	1.93441576963	2.01223279199	2.14124194259	1.71739505394	2.00148000021	1.16938135956	1.34286480319	1.32175583998	0.79299251553	0.867100487683	0.900161349944	1.70292825552	1.66959183525	1.60743590976	1.6233408176	1.10525683139	0.841567185678	1.63315443905	1.67709656091	1.63315443905	0.841567185678	0.841567185678	0.751416088684	1.35066718348	1.32175583998	1.27536280041	0.593326845278	0.667829372576	0.54812140851	1.3787660947	1.41342302851	1.30291275218	0.751416088684	0.751416088684	0.770108221696	0.904571361128	0.869498173122	0.916989638382	0.866715993187	0.845143203495	0.205929727118	0.719507535353	0.675329296168	0.693266369957	1.4032881102	1.36058973602	1.43337795707	1.47308583341	1.52822242619	1.50902866831	1.26531025362	0.951429556985	1.23219221795	3.86756024954	4.15212498568
MSL3	ENSG00000005302	2.4795188462	2.53304150417	2.52636746893	2.40517933497	2.26295386971	2.51050452523	2.38271545487	2.71077410024	2.10370837201	2.24931138081	2.57696274959	2.5453332208	2.36078674609	2.66622442847	2.60640041361	2.33689818823	2.50477318798	2.58692867261	2.37768505909	2.29448283434	2.44953129296	2.5559260058	2.23509225819	2.49833904942	2.23038759336	2.35851873925	2.65331462035	2.44804157027	2.33722149824	2.49710076334	2.48922915811	2.56298714867	2.34807502339	2.30499628665	2.63447778227	2.30020902067	2.38131873786	2.37527533882	2.3618472533	2.44781163081	2.27624613043	2.48434421034	2.49757133911	2.29554224334	2.61260289577	2.38692042249	2.12834749608	2.54757963514	2.59600069729	2.35707327828	2.57945896673	2.72195310627	1.93441576963	2.2945529213	1.85473426839	2.30657711426	2.13534917362	2.31747370549	1.80992677318	2.2710944259	1.44691898294	1.47247205736	1.49065437644	1.43270073393	1.42551507427	1.49738840863	1.3480731483	1.45395300959	1.47476300911	1.39871688112	1.28923264828	1.26694760349	1.37371557891	1.29198368165	1.3837912309	1.06125650212	1.14740245284	1.04731899428	1.52169899813	1.48160454092	1.48387468946	1.13462272619	1.04380405217	1.02604159583	1.20597080699	1.21787570949	1.26412672715	1.06815308118	1.04731899428	1.1505720276	1.38238646498	1.25337350579	1.31796341783	1.21405580192	1.24392532618	1.4319983391	1.2565226654	1.29215505433	1.26036518797	1.20270012912	1.23796063306	1.22388614196	1.30989676767	1.2251022325	1.2515063344	1.3151062626	1.31596733272	1.29585982945	3.88972829556	3.98807524391
LAMP2	ENSG00000005893	4.04237017738	4.07984508941	3.96272480858	3.84981376604	3.80524157531	4.03062207058	4.15358091351	4.44663876942	3.78252243703	3.87835306429	3.91286066147	3.8492960515	3.72850070315	3.97860056025	4.08964025981	3.72955109364	3.96112921943	3.9022180414	3.85365273745	3.86674475294	4.16176659778	4.10922982422	3.69383527542	4.19378628082	3.81876391165	3.78682809588	4.32598483081	4.17044373915	3.7488823677	3.84889896831	4.09105087035	4.0869368089	3.71827701023	3.72303842607	4.21098305227	3.74340609202	3.78972000024	3.77676222394	3.99140990579	3.4426442757	3.86805847213	3.84541104991	3.87727907993	3.89862459237	3.86798963606	3.81616277533	3.88207740683	3.93862158571	3.89528368142	3.8253751987	4.15088241318	3.86911550442	4.02695754352	3.74455065148	5.03467728858	4.72259760286	4.93734749833	4.92623867746	5.51825578691	4.62153554007	3.72424659795	3.72303930576	3.70179567938	3.78214208457	3.75957088224	3.75957088224	3.66663384517	3.6208682435	3.70253578056	3.71454720086	3.9994842812	3.79930213536	3.74265715979	3.74052268727	3.79188720419	3.58656983529	3.65764675168	3.64257370124	3.38979933671	3.40286266098	3.402196882	3.69162567978	3.58823004596	3.6208682435	3.71015158939	3.72834052299	3.76166512384	3.74691248536	3.76815263501	3.84695100868	3.61482980014	3.65439708673	3.634893783	3.66861368103	3.67391586799	3.61388210023	3.72278643059	3.77993736218	3.7731020583	3.68052869513	3.66346511429	3.6566405722	3.67597964925	3.68691068736	3.68198517132	3.88358657529	3.78736529118	3.87749554267	6.58265638086	6.69913363268
GGCT	ENSG00000006625	3.33592567864	3.20486048989	3.13653037323	2.83590248853	2.03406529775	3.24103111178	2.54156114193	3.38945981152	2.59500526949	2.03944968391	2.62058567222	2.57901576491	2.48402744268	2.62312415934	3.12039868796	2.88370363763	3.19866564135	2.63829432057	2.75403983192	2.57045470258	3.20951114642	2.68998171202	1.51652358237	2.74690449487	2.1549715052	3.02995640943	3.39980505789	2.72299622865	2.82703820976	2.93627554855	2.7401826644	3.12134454989	2.66635681484	2.63005776509	3.20547733195	2.19943808818	2.87939938044	2.28707743743	2.59899685942	2.44299068231	2.13594435918	2.54498047849	2.48551728724	2.2403288625	2.36126770469	2.71198190093	2.27695253718	3.05847761248	3.16378585855	2.71204222237	2.52412736294	3.15059698411	2.30856716467	3.13200989185	3.6423118183	3.00963517872	2.01623546578	3.38506799973	2.63547950827	3.49468772475	2.11866225483	2.08193842188	2.11986345618	1.90954250488	1.95586047991	1.9919755159	2.20497226413	2.24070968928	2.22137503757	2.26695791535	1.80500469598	1.83736998048	2.28442112237	2.26799364822	2.28949985345	1.33236601909	1.34025042262	1.38629436112	2.16905370037	2.17815501462	2.23964529322	1.60140574074	1.55603713571	1.46325540226	1.77325599766	1.59533898805	1.78507048108	1.10194007876	1.20597080699	1.3244189574	1.7138995435	1.76224363433	1.73961331178	1.66568069236	1.6603935402	2.40204860485	1.58689788653	1.67695209645	1.68081797793	1.80682886259	1.75890167144	1.88024014735	1.98595579205	1.8043874468	1.80231139038	1.56282164914	1.98829836277	1.76241621976	2.19814484949	2.00645646409
