length,cut-off
1,0.0235007398374
2,0.0261065351908
3,0.0313240931016
4,0.0339322191861
5,0.0391491529923
6,0.043061257306
7,0.0396538255232
8,0.0303283730028
9,0.0234517902839
10,0.0197323663527
11,0.0177513347113
12,0.0161496317806
13,0.0150165601818
14,0.0136347498338
15,0.0114916934983
16,0.0103409161207
17,0.0092950625021
18,0.00918639676661
19,0.00876205607052
20,0.00801455350825
30,0.00473005924198
40,0.00328564910965
50,0.00222356426706
60,0.00141926676961
70,0.000960145826725
80,0.000609878833639
90,0.00041862884763
100,0.000282044514317
110,0.000199344366945
120,0.000131155673325
130,8.72573226002E-05
140,5.92489393625E-05
150,4.17870960508E-05
160,2.75991931127E-05
170,1.86023718324E-05
180,1.16777980992E-05
190,7.77236163533E-06
200,5.27637964588E-06
220,2.4606364515E-06
240,1.13539809286E-06
260,4.9060861933E-07
280,1.96365504387E-07
300,9.87934988144E-08
320,4.05307010291E-08
340,1.79215694787E-08
360,7.96458539644E-09
380,3.8432062288E-09
400,1.72489483951E-09
420,7.99151127206E-10
440,2.8760851595E-10
460,1.31934105356E-10
480,5.73531714849E-11
500,2.63143776488E-11
520,1.2056855255E-11
540,5.14327095103E-12
560,2.46649235871E-12
580,1.00992651573E-12
600,4.50515424084E-13
700,7.59649882165E-15
800,1.49234224207E-16
900,2.79738039999E-18
1000,3.88670314717E-20
1250,1.49763434137E-24
1500,3.65733678559E-29
1750,6.87098366674E-34
2000,1.67642771389E-38
2250,2.01596050512E-43
2500,2.4841544215E-48
2750,1.49634435015E-53
3000,1.310135726E-58
