alpha	Links	p-value	nodes	density
0.005	294	0.00450113909358	153	0.0252837977296
0.01	4294	2.94410207608e-42	630	0.0216720922603
0.02	16358	7.13554366374e-219	2163	0.00699597083743
0.03	33547	4.90893799482e-295	3749	0.00477494816832
0.05	96156	0.0	6586	0.00443433887165
0.1	715701	0.0	12602	0.00901399126419
0.2	12712318	0.0	13025	0.14987618311
0.3	37455125	4.84917384356e-208	13025	0.441589895165
0.4	58922341	2.78203130352e-121	13025	0.694684916552
0.5	73434923	1.20264031981e-48	13025	0.865785922461
