alpha	Links	p-value	nodes	density
0.005	14135	0.996329672362	657	0.0655928648328
0.01	21644	0.978672783398	907	0.0526783345624
0.02	35712	0.360990327715	1354	0.0389877082603
0.03	49154	0.00026721004624	1752	0.0320456151605
0.05	78682	5.01377641018e-10	2291	0.029994720179
0.1	172351	6.55040117665e-43	3453	0.0289185449769
0.2	490091	4.90907134716e-187	5740	0.0297549075857
0.3	791542	2.95968185334e-228	5742	0.0480234354064
0.4	2348498	6.33111724707e-262	6519	0.110541372656
0.5	3261031	0.0	6519	0.153493357463
