alpha	Links	p-value	nodes	density
0.005	1946	0.000268332952425	1331	0.00219858436474
0.01	8913	5.02787757893e-06	3377	0.00156358106904
0.02	61844	5.21201650675e-12	5300	0.00440410615032
0.03	188553	5.03648688238e-15	5820	0.0111350481802
0.05	630580	2.03182040413e-31	6144	0.0334147691817
0.1	2137384	9.74964559127e-73	6495	0.101349383205
0.2	5117287	1.88277677629e-85	6711	0.227279367171
0.3	7517346	5.40138460676e-127	6726	0.332388036439
0.4	9698901	1.29487736845e-145	6782	0.421794577464
0.5	11656117	1.11842770226e-181	6784	0.506612892178
