,biocarta,chr,cluster length max,cluster length mean,cluster length median,cluster length min,clusters,conductance max data/red-new/net_exp_final.txt,conductance max data/red-new/net_mirna_final.txt,conductance max data/red-new/net_ppi_unique_nodes_int.txt,conductance max data/red-new/net_tf_final.txt,conductance mean data/red-new/net_exp_final.txt,conductance mean data/red-new/net_mirna_final.txt,conductance mean data/red-new/net_ppi_unique_nodes_int.txt,conductance mean data/red-new/net_tf_final.txt,conductance median data/red-new/net_exp_final.txt,conductance median data/red-new/net_mirna_final.txt,conductance median data/red-new/net_ppi_unique_nodes_int.txt,conductance median data/red-new/net_tf_final.txt,conductance min data/red-new/net_exp_final.txt,conductance min data/red-new/net_mirna_final.txt,conductance min data/red-new/net_ppi_unique_nodes_int.txt,conductance min data/red-new/net_tf_final.txt,cp,go,kegg,mir,modularity data/red-new/net_exp_final.txt,modularity data/red-new/net_mirna_final.txt,modularity data/red-new/net_ppi_unique_nodes_int.txt,modularity data/red-new/net_tf_final.txt,reactome
data/red-new/slice_out_oslom/consensus/tp,0.074144486692,0.032319391635,117,16.711026616,9,1,526,1,1,1,1,0.469287741146,0.50907626118,0.408123076029,0.513897796738,0.410787759301,0.764242704956,0.410800385728,0.852451937111,0,0,0,0,0.245247148289,0.456273764259,0.157794676806,0.133079847909,0.140229776475,0.00437852904536,0.187882210986,0.0244942719706,0.201520912548
data/red-new/biCl_red-new_sparse_c700_BiClustering_tp.csv,0.0325379609544,0.0184381778742,40,7.50976138829,4,1,922,1,1,1,1,0.645159419452,0.711896263794,0.623771266738,0.6194843977,1,1,0.878787878788,0.993680868905,0,0,0,0,0.195227765727,0.5,0.0661605206074,0.130151843818,0.000261774510385,-0.0045138877674,0.0428366267439,-0.00160801912839,0.129067245119
data/red-new/biCl_red-new_sparse_c500_BiClustering_tp.csv,0.0415512465374,0.0152354570637,61,9.59002770083,5,1,722,1,1,1,1,0.612323957805,0.642930658089,0.569578406004,0.585539994966,0.975226261697,1,0.862658414383,0.985918605492,0,0,0,0,0.220221606648,0.520775623269,0.0914127423823,0.120498614958,0.00642517544299,-0.0042655613281,0.0445498543659,-0.00128360243503,0.148199445983
data/red-new/biCl_red-new_sparse_c300_BiClustering_tp.csv,0.0249042145594,0.0095785440613,74,13.2643678161,2,1,522,1,1,1,1,0.526827648369,0.527712505534,0.474019793716,0.493747020155,0.94163359034,0.974630325158,0.777777777778,0,0,0,0,0,0.180076628352,0.454022988506,0.0747126436782,0.0996168582375,0.00589418066789,-0.00426535172536,0.0442812345031,-0.00107163955264,0.13601532567
data/red-new/biCl_red-new_sparse_c600_BiClustering_tp.csv,0.0316301703163,0.036496350365,42,8.42335766423,4,1,822,1,1,1,1,0.63847582597,0.693973171695,0.601946315305,0.58215701429,1,1,0.872170212766,0.991051051051,0,0,0,0,0.187347931873,0.506082725061,0.0596107055961,0.0985401459854,0.000530028930196,-0.00451547767522,0.0425025320457,-0.00215125053882,0.127737226277
data/red-new/biCl_red-new_sparse_c400_BiClustering_tp.csv,0.0289389067524,0.0176848874598,56,11.1318327974,4,1,622,1,1,1,1,0.571785076181,0.598881986173,0.517909672736,0.542195279723,0.967688473032,0.990296546712,0.841059602649,0.98005707869,0,0,0,0,0.162379421222,0.453376205788,0.0594855305466,0.088424437299,0.00378764256409,-0.00446814718733,0.0428977841597,-0.00191446140109,0.102893890675
data/red-new/biCl_red-new_sparse_c600_CoClustering_tp.csv,0.0351493848858,0.0175746924429,384,12.1687170475,1,1,569,1,1,1,1,0.404137563678,0.497312788017,0.350790239265,0.326095007438,0,0.8125,0,0,0,0,0,0,0.151142355009,0.31985940246,0.0861159929701,0.0843585237258,0.101654729399,0.00385882980205,0.0822486593431,0.0235677951616,0.115992970123
data/red-new/biCl_red-new_sparse_c700_CoClustering_tp.csv,0.0248447204969,0.0124223602484,316,10.751552795,1,1,644,1,1,1,1,0.445125537373,0.527436027985,0.403276146003,0.364577896023,0,0.903510307971,0,0,0,0,0,0,0.170807453416,0.347826086957,0.0791925465839,0.082298136646,0.0683977570693,0.00122058752853,0.0755335854197,0.0147703721987,0.135093167702
data/red-new/biCl_red-new_sparse_c500_CoClustering_tp.csv,0.0295275590551,0.00787401574803,457,13.6299212598,1,1,508,1,1,1,1,0.375865547354,0.446076110588,0.327365068578,0.287818632521,0,0,0,0,0,0,0,0,0.137795275591,0.28937007874,0.0748031496063,0.0728346456693,0.0961857568065,0.00634617514202,0.0818890502246,0.035584358413,0.116141732283
data/red-new/biCl_red-new_sparse_c400_CoClustering_tp.csv,0.018018018018,0.0045045045045,694,15.5945945946,1,1,444,1,1,1,1,0.316534185999,0.374014610672,0.261555980429,0.240850699739,0,0,0,0,0,0,0,0,0.0990990990991,0.227477477477,0.0518018018018,0.0495495495495,0.0903370728388,0.0039121687102,0.0840994316027,0.0345411213008,0.0855855855856
data/red-new/biCl_red-new_sparse_c300_CoClustering_tp.csv,0.0179948586118,0.00514138817481,884,17.7994858612,1,1,389,1,1,1,1,0.253524171279,0.321717121252,0.202980681419,0.188938339717,0,0,0,0,0,0,0,0,0.0951156812339,0.203084832905,0.0539845758355,0.0437017994859,0.115036323441,0.0106924806046,0.104715969264,0.0262586381884,0.0745501285347
data/red-new/multi_cluster/clusters_a_0990_phi_0400.txt,0.004,0.02,2560,27.696,1,1,250,1,1,1,1,0.0894458898217,0.0911990428101,0.0821400197428,0.100903184628,0,0,0,0,0,0,0,0,0.032,0.088,0.02,0.024,0.0110583335602,-0.0671644607699,0.0420690819289,6.06236061602E-05,0.032
data/red-new/multi_cluster/clusters_a_0999_phi_0250.txt,0,0.016,2560,27.696,1,1,250,1,1,1,1,0.0894458898217,0.0911990428101,0.0821400197428,0.100903184628,0,0,0,0,0,0,0,0,0.032,0.088,0.02,0.024,0.0110583335602,-0.0671644607795,0.0420690819289,6.15606242295E-05,0.032
data/red-new/multi_cluster/clusters_a_0990_phi_0600.txt,0,0.016,2560,27.696,1,1,250,1,1,1,1,0.0894458898217,0.0911990428101,0.0821400197428,0.100903184628,0,0,0,0,0,0,0,0,0.032,0.088,0.02,0.024,0.0110583335602,-0.0671644607795,0.0420690819289,6.15606242295E-05,0.032
data/red-new/multi_cluster/clusters_a_0990_phi_0300.txt,0,0.016,2560,27.696,1,1,250,1,1,1,1,0.0894458898217,0.0911990428101,0.0821400197428,0.100903184628,0,0,0,0,0,0,0,0,0.032,0.088,0.02,0.024,0.0110583335602,-0.0671644607795,0.0420690819289,6.15606242295E-05,0.032
data/red-new/multi_cluster/clusters_a_0990_phi_0350.txt,0,0.016,2560,27.696,1,1,250,1,1,1,1,0.0894458898217,0.0911990428101,0.0821400197428,0.100903184628,0,0,0,0,0,0,0,0,0.032,0.088,0.02,0.024,0.0110583335602,-0.0671644607795,0.0420690819289,6.15606242295E-05,0.032
data/red-new/multi_cluster/clusters_a_0990_phi_0250.txt,0,0.016,2560,27.696,1,1,250,1,1,1,1,0.0894458898217,0.0911990428101,0.0821400197428,0.100903184628,0,0,0,0,0,0,0,0,0.032,0.088,0.02,0.024,0.0110583335602,-0.0671644607795,0.0420690819289,6.15606242295E-05,0.032
data/red-new/multi_cluster/clusters_a_0990_phi_0500.txt,0.004,0.016,2560,27.696,1,1,250,1,1,1,1,0.0894458898217,0.0871990428101,0.0821400197428,0.100903184628,0,0,0,0,0,0,0,0,0.032,0.088,0.02,0.024,0.0110583335602,-0.0671644608098,0.0420690819289,6.08688610821E-05,0.028
data/red-new/multi_cluster/clusters_a_0990_phi_0800.txt,0.00769230769231,0.0115384615385,2560,26.6307692308,1,1,260,1,1,1,1,0.120664233305,0.117732444431,0.112356165704,0.13430222294,0,0,0,0,0,0,0,0,0.05,0.119230769231,0.0269230769231,0.0230769230769,0.011056858743,-0.0672827580726,0.0420425770236,0.000106706692775,0.0423076923077
data/red-new/multi_cluster/clusters_a_0999_phi_0800.txt,0.0114068441065,0.0152091254753,2560,26.3269961977,1,1,263,1,1,1,1,0.130694679313,0.131364514366,0.122191479739,0.140136291106,0,0,0,0,0,0,0,0,0.0532319391635,0.117870722433,0.0266159695817,0.0228136882129,0.0110572739993,-0.0671008327929,0.0420436021265,0.000110333501173,0.0494296577947
data/red-new/multi_cluster/clusters_a_0990_phi_4000.txt,0.0114068441065,0.0152091254753,2560,26.3269961977,1,1,263,1,1,1,1,0.130694679313,0.131364514366,0.122191479739,0.140136291106,0,0,0,0,0,0,0,0,0.0532319391635,0.117870722433,0.0266159695817,0.0228136882129,0.0110572739993,-0.0671008327929,0.0420436021265,0.000110333501173,0.0494296577947
data/red-new/multi_cluster/clusters_a_0990_phi_1500.txt,0.0114068441065,0.0152091254753,2560,26.3269961977,1,1,263,1,1,1,1,0.130694679313,0.131364514366,0.122191479739,0.140136291106,0,0,0,0,0,0,0,0,0.0532319391635,0.117870722433,0.0266159695817,0.0228136882129,0.0110572739993,-0.0671008327929,0.0420436021265,0.000110333501173,0.0494296577947
data/red-new/multi_cluster/clusters_a_0999_phi_0400.txt,0.0114068441065,0.0152091254753,2560,26.3269961977,1,1,263,1,1,1,1,0.130694679313,0.131364514366,0.122191479739,0.140136291106,0,0,0,0,0,0,0,0,0.0532319391635,0.117870722433,0.0266159695817,0.0228136882129,0.0110572739993,-0.0671008327929,0.0420436021265,0.000110333501173,0.0494296577947
data/red-new/multi_cluster/clusters_a_0990_phi_1000.txt,0.0114068441065,0.0152091254753,2560,26.3269961977,1,1,263,1,1,1,1,0.130694679313,0.131364514366,0.122190989859,0.140136291106,0,0,0,0,0,0,0,0,0.0532319391635,0.117870722433,0.0266159695817,0.0228136882129,0.0110572739993,-0.0671008327929,0.042043558725,0.000110333501173,0.0494296577947
data/red-new/multi_cluster/clusters_a_0999_phi_0500.txt,0.0114068441065,0.0152091254753,2560,26.3269961977,1,1,263,1,1,1,1,0.130694679313,0.131364514366,0.122191479739,0.140136291106,0,0,0,0,0,0,0,0,0.0532319391635,0.117870722433,0.0266159695817,0.0228136882129,0.0110572739993,-0.0671008327929,0.0420436021265,0.000110333501173,0.0494296577947
data/red-new/multi_cluster/clusters_a_0999_phi_0600.txt,0.0114068441065,0.0152091254753,2560,26.3269961977,1,1,263,1,1,1,1,0.130694679313,0.131364514366,0.122191479739,0.140136291106,0,0,0,0,0,0,0,0,0.0532319391635,0.117870722433,0.0266159695817,0.0228136882129,0.0110572739993,-0.0671008327929,0.0420436021265,0.000110333501173,0.0494296577947
data/red-new/multi_cluster/clusters_a_0990_phi_3000.txt,0.0114068441065,0.0152091254753,2560,26.3269961977,1,1,263,1,1,1,1,0.130694679313,0.131364514366,0.122191479739,0.140136291106,0,0,0,0,0,0,0,0,0.0532319391635,0.117870722433,0.0266159695817,0.0228136882129,0.0110572739993,-0.0671008327929,0.0420436021265,0.000110333501173,0.0494296577947
data/red-new/multi_cluster/clusters_a_0990_phi_2000.txt,0.00760456273764,0.0114068441065,2560,26.3269961977,1,1,263,1,1,1,1,0.130694679313,0.131364514366,0.122190989859,0.140136291106,0,0,0,0,0,0,0,0,0.0532319391635,0.117870722433,0.0266159695817,0.0228136882129,0.0110572739993,-0.0671008328025,0.042043558725,0.000111270519243,0.0494296577947
data/red-new/multi_cluster/clusters_a_0950_phi_1500.txt,0.0120481927711,0.00803212851406,2528,27.8072289157,1,1,249,1,1,1,1,0.0855948331833,0.092321554947,0.0890886608264,0.0996502508414,0,0,0,0,0,0,0,0,0.0321285140562,0.0803212851406,0.0120481927711,0.0160642570281,0.00992993078816,-0.0710694188193,0.0402061210709,-0.000284117013294,0.0200803212851
data/red-new/multi_cluster/clusters_a_0950_phi_1000.txt,0.0120481927711,0.00401606425703,2528,27.8072289157,1,1,249,1,1,1,1,0.085595290698,0.092321554947,0.0890886608264,0.0996411975488,0,0,0,0,0,0,0,0,0.0321285140562,0.0803212851406,0.0120481927711,0.0160642570281,0.00992960948391,-0.0710699318773,0.0402061210709,-0.000244924893957,0.0200803212851
data/red-new/multi_cluster/clusters_a_0950_phi_0300.txt,0,0,2528,29.4638297872,1,1,235,1,1,1,1,0.0440349711596,0.0424201872686,0.0413460963647,0.0474416757239,0,0,0,0,0,0,0,0,0.0127659574468,0.0468085106383,0.0127659574468,0.0127659574468,0.00995878967732,-0.0717644235969,0.0404614941646,1.64338767856E-05,0.0127659574468
data/red-new/multi_cluster/clusters_a_0950_phi_0350.txt,0,0,2528,29.4638297872,1,1,235,1,1,1,1,0.0440349711596,0.0424201872686,0.0413460963647,0.0474416757239,0,0,0,0,0,0,0,0,0.0127659574468,0.0468085106383,0.0127659574468,0.0127659574468,0.00995878967732,-0.0717644235969,0.0404614941646,1.64338767856E-05,0.0127659574468
data/red-new/multi_cluster/clusters_a_0950_phi_0500.txt,0,0,2528,29.4638297872,1,1,235,1,1,1,1,0.0440349711596,0.0424201872686,0.0413460963647,0.0474416757239,0,0,0,0,0,0,0,0,0.0127659574468,0.0468085106383,0.0127659574468,0.0127659574468,0.00995878967732,-0.0717644235969,0.0404614941646,1.64338767856E-05,0.0127659574468
data/red-new/multi_cluster/clusters_a_0950_phi_0400.txt,0,0,2528,29.4638297872,1,1,235,1,1,1,1,0.0440349711596,0.0424201872686,0.0413460963647,0.0474416757239,0,0,0,0,0,0,0,0,0.0127659574468,0.0468085106383,0.0127659574468,0.0127659574468,0.00995878967732,-0.0717644235969,0.0404614941646,1.64338767856E-05,0.0127659574468
data/red-new/multi_cluster/clusters_a_0950_phi_0250.txt,0,0,2528,29.4638297872,1,1,235,1,1,1,1,0.0440349711596,0.0424201872686,0.0413460963647,0.0474416757239,0,0,0,0,0,0,0,0,0.0127659574468,0.0468085106383,0.0127659574468,0.0127659574468,0.00995878967732,-0.0717644235969,0.0404614941646,1.64338767856E-05,0.0127659574468
data/red-new/multi_cluster/clusters_a_0950_phi_0600.txt,0,0,2528,29.4638297872,1,1,235,1,1,1,1,0.0440349711596,0.0424201872686,0.0413460963647,0.0474416757239,0,0,0,0,0,0,0,0,0.0127659574468,0.0468085106383,0.0127659574468,0.0127659574468,0.00995878967732,-0.0717644235969,0.0404614941646,1.64338767856E-05,0.0127659574468
data/red-new/multi_cluster/clusters_a_0950_phi_0800.txt,0.0121457489879,0.0080971659919,2528,28.032388664,1,1,247,1,1,1,1,0.0821356525802,0.0849719319102,0.0817128605092,0.0920546149501,0,0,0,0,0,0,0,0,0.0323886639676,0.080971659919,0.0121457489879,0.0121457489879,0.00995949850424,-0.0710701861765,0.0402056188531,-0.000182024162918,0.0202429149798
data/red-new/multi_cluster/clusters_a_0900_phi_0600.txt,0.00806451612903,0.00403225806452,2570,27.9193548387,1,1,248,1,1,1,1,0.0852439469617,0.0843370671415,0.0686342216854,0.0779309147966,0,0,0,0,0,0,0,0,0.0322580645161,0.0725806451613,0.0161290322581,0.0120967741935,0.00833473923623,-0.0693701312663,0.0363948641829,-0.00224737445641,0.0282258064516
data/red-new/multi_cluster/clusters_a_0950_phi_4000.txt,0.0120481927711,0.00401606425703,2528,27.8072289157,1,1,249,1,1,1,1,0.0855948331833,0.092321554947,0.0890886608264,0.0996043463858,0,0,0,0,0,0,0,0,0.0321285140562,0.0803212851406,0.0120481927711,0.0120481927711,0.00992993042187,-0.0710701793388,0.0402061210709,-0.00024848593721,0.0200803212851
data/red-new/multi_cluster/clusters_a_0950_phi_3000.txt,0.0120481927711,0.00401606425703,2528,27.8072289157,1,1,249,1,1,1,1,0.0855948331833,0.092321554947,0.0890886608264,0.0996377918698,0,0,0,0,0,0,0,0,0.0321285140562,0.0803212851406,0.0120481927711,0.0120481927711,0.00992992825869,-0.0710701725153,0.0402061210709,-0.000247912125481,0.0200803212851
data/red-new/multi_cluster/clusters_a_0950_phi_2000.txt,0.0120481927711,0.00803212851406,2528,27.8072289157,1,1,249,1,1,1,1,0.085595290698,0.092321554947,0.0890886608264,0.0996161929767,0,0,0,0,0,0,0,0,0.0321285140562,0.0803212851406,0.0120481927711,0.0120481927711,0.00992960906382,-0.0710700956488,0.0402061210709,-0.000302181768871,0.0200803212851
data/red-new/multi_cluster/clusters_a_0900_phi_0500.txt,0,0.004,2570,27.696,1,1,250,1,1,1,1,0.0845187084342,0.067658534953,0.0666192750566,0.0773864367405,0,0,0,0,0,0,0,0,0.02,0.056,0.012,0.012,0.00838421370194,-0.0694093332726,0.0364224525765,-0.00225116801727,0.02
data/red-new/multi_cluster/clusters_a_0900_phi_0800.txt,0.0158102766798,0.00395256916996,2570,27.3675889328,1,1,253,1,1,1,1,0.10309867139,0.0985016717021,0.0839256422925,0.0920111919159,0,0,0,0,0,0,0,0,0.0395256916996,0.0948616600791,0.0158102766798,0.0118577075099,0.00834994091503,-0.0693755457813,0.0364039862559,-0.00236100562071,0.0316205533597
data/red-new/multi_cluster/clusters_a_0980_phi_1500.txt,0.00393700787402,0.011811023622,2551,27.2598425197,1,1,254,1,1,1,1,0.106830446032,0.108985581306,0.0945826525563,0.115277034408,0,0,0,0,0,0,0,0,0.0393700787402,0.0984251968504,0.0275590551181,0.011811023622,0.0105694507126,-0.0705435886741,0.0413436118038,0.00111497300319,0.0275590551181
data/red-new/multi_cluster/clusters_a_0980_phi_4000.txt,0.00393700787402,0.011811023622,2551,27.2598425197,1,1,254,1,1,1,1,0.106830446032,0.108985581306,0.0945826525563,0.115277034408,0,0,0,0,0,0,0,0,0.0393700787402,0.0984251968504,0.0275590551181,0.011811023622,0.0105694507126,-0.0705435886741,0.0413436118038,0.00111497300319,0.0275590551181
data/red-new/multi_cluster/clusters_a_0980_phi_0800.txt,0.00393700787402,0.011811023622,2551,27.2598425197,1,1,254,1,1,1,1,0.106830446032,0.108985581306,0.0945826525563,0.115277034408,0,0,0,0,0,0,0,0,0.0393700787402,0.0984251968504,0.0236220472441,0.011811023622,0.0105694507126,-0.0705435886872,0.0413436118038,0.00111663578853,0.0275590551181
data/red-new/multi_cluster/clusters_a_0980_phi_1000.txt,0,0.011811023622,2551,27.2598425197,1,1,254,1,1,1,1,0.106830446032,0.108985581306,0.0945826525563,0.115277034408,0,0,0,0,0,0,0,0,0.0393700787402,0.0944881889764,0.0275590551181,0.011811023622,0.0105694507126,-0.0705435886969,0.0413436118038,0.00111678402349,0.0275590551181
data/red-new/multi_cluster/clusters_a_0900_phi_3000.txt,0.0117647058824,0.00392156862745,2570,27.1529411765,1,1,255,1,1,1,1,0.102292915252,0.101781073853,0.0918270620726,0.0994901087775,0,0,0,0,0,0,0,0,0.0352941176471,0.0901960784314,0.0156862745098,0.0117647058824,0.00830031174117,-0.0693758262079,0.0363746463002,-0.00237142137135,0.0313725490196
data/red-new/multi_cluster/clusters_a_0980_phi_3000.txt,0.00390625,0.015625,2551,27.046875,1,1,256,1,1,1,1,0.113799629547,0.112044824159,0.0999427880449,0.12221101882,0,0,0,0,0,0,0,0,0.0390625,0.09765625,0.02734375,0.01171875,0.0106092136735,-0.0705423935374,0.0413445082522,0.00112909751318,0.03125
data/red-new/multi_cluster/clusters_a_0980_phi_2000.txt,0.00390625,0.015625,2551,27.046875,1,1,256,1,1,1,1,0.113799629547,0.112044824159,0.0999427880449,0.12221101882,0,0,0,0,0,0,0,0,0.0390625,0.09765625,0.0234375,0.01171875,0.0106092136735,-0.0705423935506,0.0413445082522,0.00113076029853,0.03125
