,biocarta,chr,cluster length max,cluster length mean,cluster length median,cluster length min,clusters,conductance max data/red-new/net_exp_final.txt,conductance max data/red-new/net_mirna_final.txt,conductance max data/red-new/net_ppi_unique_nodes_int.txt,conductance max data/red-new/net_tf_final.txt,conductance mean data/red-new/net_exp_final.txt,conductance mean data/red-new/net_mirna_final.txt,conductance mean data/red-new/net_ppi_unique_nodes_int.txt,conductance mean data/red-new/net_tf_final.txt,conductance median data/red-new/net_exp_final.txt,conductance median data/red-new/net_mirna_final.txt,conductance median data/red-new/net_ppi_unique_nodes_int.txt,conductance median data/red-new/net_tf_final.txt,conductance min data/red-new/net_exp_final.txt,conductance min data/red-new/net_mirna_final.txt,conductance min data/red-new/net_ppi_unique_nodes_int.txt,conductance min data/red-new/net_tf_final.txt,cp,go,kegg,mir,modularity data/red-new/net_exp_final.txt,modularity data/red-new/net_mirna_final.txt,modularity data/red-new/net_ppi_unique_nodes_int.txt,modularity data/red-new/net_tf_final.txt,reactome
data/red-new/biCl_red-new_sparse_c500_BiClustering_tp.csv,0.0415512465374,0.0152354570637,61,9.59002770083,5.0,1,722,1.0,1.0,1.0,1.0,0.612323957805,0.642930658089,0.569578406004,0.585539994966,0.975226261697,1.0,0.862658414383,0.985918605492,0.0,0.0,0.0,0.0,0.220221606648,0.520775623269,0.0914127423823,0.120498614958,0.00642517544299,-0.0042655613281,0.0445498543659,-0.00128360243503,0.148199445983
data/red-new/biCl_red-new_sparse_c600_CoClustering_tp.csv,0.0351493848858,0.0175746924429,384,12.1687170475,1.0,1,569,1.0,1.0,1.0,1.0,0.404137563678,0.497312788017,0.350790239265,0.326095007438,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.151142355009,0.31985940246,0.0861159929701,0.0843585237258,0.101654729399,0.00385882980205,0.0822486593431,0.0235677951616,0.115992970123
data/red-new/biCl_red-new_CoClustering_tp.csv,0.106870229008,0.030534351145,1538,52.8549618321,18.0,1,131,1.0,1.0,1.0,1.0,0.898096584061,0.98112583733,0.843037593568,0.873827208205,0.977315689981,1.0,0.879336349925,0.985480943739,0.0,0.537078651685,0.297605473204,0.0,0.511450381679,0.786259541985,0.328244274809,0.190839694656,0.119467867334,0.000401029483765,0.165907523494,0.0105754709094,0.389312977099
data/red-new/biCl_red-new_sparse_c300_CoClustering_tp.csv,0.0179948586118,0.00514138817481,884,17.7994858612,1.0,1,389,1.0,1.0,1.0,1.0,0.253524171279,0.321717121252,0.202980681419,0.188938339717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0951156812339,0.203084832905,0.0539845758355,0.0437017994859,0.115036323441,0.0106924806046,0.104715969264,0.0262586381884,0.0745501285347
data/red-new/biCl_red-new_sparse_c400_BiClustering_tp.csv,0.0289389067524,0.0176848874598,56,11.1318327974,4.0,1,622,1.0,1.0,1.0,1.0,0.571785076181,0.598881986173,0.517909672736,0.542195279723,0.967688473032,0.990296546712,0.841059602649,0.98005707869,0.0,0.0,0.0,0.0,0.162379421222,0.453376205788,0.0594855305466,0.088424437299,0.00378764256409,-0.00446814718733,0.0428977841597,-0.00191446140109,0.102893890675
data/red-new/slice_out_oslom/consensus/tp,0.074144486692,0.032319391635,117,16.711026616,9.0,1,526,1.0,1.0,1.0,1.0,0.469287741146,0.50907626118,0.408123076029,0.513897796738,0.410787759301,0.764242704956,0.410800385728,0.852451937111,0.0,0.0,0.0,0.0,0.245247148289,0.456273764259,0.157794676806,0.133079847909,0.140229776475,0.00437852904536,0.187882210986,0.0244942719706,0.201520912548
data/red-new/biCl_red-new_sparse_c700_CoClustering_tp.csv,0.0248447204969,0.0124223602484,316,10.751552795,1.0,1,644,1.0,1.0,1.0,1.0,0.445125537373,0.527436027985,0.403276146003,0.364577896023,0.0,0.903510307971,0.0,0.0,0.0,0.0,0.0,0.0,0.170807453416,0.347826086957,0.0791925465839,0.082298136646,0.0683977570693,0.00122058752853,0.0755335854197,0.0147703721987,0.135093167702
data/red-new/biCl_red-new_sparse_c500_CoClustering_tp.csv,0.0295275590551,0.00787401574803,457,13.6299212598,1.0,1,508,1.0,1.0,1.0,1.0,0.375865547354,0.446076110588,0.327365068578,0.287818632521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137795275591,0.28937007874,0.0748031496063,0.0728346456693,0.0961857568065,0.00634617514202,0.0818890502246,0.035584358413,0.116141732283
data/red-new/biCl_red-new_sparse_c400_CoClustering_tp.csv,0.018018018018,0.0045045045045,694,15.5945945946,1.0,1,444,1.0,1.0,1.0,1.0,0.316534185999,0.374014610672,0.261555980429,0.240850699739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0990990990991,0.227477477477,0.0518018018018,0.0495495495495,0.0903370728388,0.0039121687102,0.0840994316027,0.0345411213008,0.0855855855856
data/red-new/biCl_red-new_sparse_c700_BiClustering_tp.csv,0.0325379609544,0.0184381778742,40,7.50976138829,4.0,1,922,1.0,1.0,1.0,1.0,0.645159419452,0.711896263794,0.623771266738,0.6194843977,1.0,1.0,0.878787878788,0.993680868905,0.0,0.0,0.0,0.0,0.195227765727,0.5,0.0661605206074,0.130151843818,0.000261774510385,-0.0045138877674,0.0428366267439,-0.00160801912839,0.129067245119
