alpha	Links	p-value	nodes	density
0.005	5271	0.917663859688	402	0.0653962109651
0.01	8287	0.275683741916	540	0.056943585515
0.02	13706	4.26807295832e-10	822	0.0406186746327
0.03	19154	1.01371576984e-18	1074	0.0332418721939
0.05	31044	1.03093403221e-34	1459	0.029187362673
0.1	69898	8.35149232152e-50	2253	0.0275527636725
0.2	205719	1.04110128749e-128	3680	0.0303897266507
0.3	327364	4.79873328191e-185	3682	0.0483071385114
0.4	1032934	2.77291350783e-173	4363	0.108550466529
0.5	1425055	1.54302895314e-223	4363	0.149758246973
