alpha	Links	p-value	nodes	density
0.005	491	0.994425678388	266	0.0139310540502
0.01	1838	0.990666036463	495	0.0150329202961
0.02	7268	0.00145326131992	1803	0.00447398373533
0.03	21998	1.79779909654e-34	4938	0.00180467491035
0.05	149946	2.14123312932e-210	9530	0.00330236180778
0.1	2019425	0.0	11489	0.0306006793224
0.2	12245787	0.0	11489	0.185562425462
0.3	25678419	5.98399989876e-314	11489	0.389109308504
0.4	38974993	3.26083326255e-322	11489	0.590594482284
0.5	50591333	3.18553954504e-286	11489	0.766618793779
