alpha	Links	p-value	nodes	density
0.005	15010	0.999857514844	677	0.0655956927971
0.01	23174	0.999404469572	927	0.0539933504349
0.02	37617	0.551559296235	1389	0.0390231605679
0.03	51507	0.0232795914041	1767	0.0330117845668
0.05	81676	3.50707125229e-11	2331	0.0300764283597
0.1	175782	1.39712581786e-37	3434	0.0298215562034
0.2	486234	8.79885503826e-202	5702	0.0299155550686
0.3	789666	3.64134293054e-223	5703	0.0485671758721
0.4	2294052	4.12257521989e-262	6417	0.111438910904
0.5	3183296	0.0	6417	0.154636006213
